onset	duration	condition_type
0	11	stimPicChoice
11	5	stimCuePic
16	118.2	AB_5yr
16.031746	117.337	EXT_SEM
133.36876	2.402	EXT_OTHER
154	11	stimPicChoice
165	5	stimCuePic
170	118.2	AB_6mo
170.255692	6.647	EXT_OTHER
176.902733	16.603	EXT_SEM
193.505381	3.578	EXT_OTHER
197.083507	5.664	EXT_SEM
202.747237	3.179	EXT_REP
205.925885	61.437	EXT_SEM
267.363284	6.94	EXT_OTHER
274.302798	11.523	EXT_SEM
308	11	stimPicChoice
319	5	stimCuePic
324	118.2	AB_today
324.169642	0.609	EXT_OTHER
324.779027	7.927	EXT_SEM
332.70593	0.858	INT_TIME
333.56398	2.095	INT_PERC
335.659032	2.135	INT_ACT
337.793736	0.584	INT_PERSON
338.377503	4.169	INT_PLACE
342.546575	0.898	INT_PERC
343.444534	4.305	INT_ACT
347.749398	1.099	INT_PERC
348.848888	3.238	INT_PLACE
352.086491	1.346	INT_OTHER
353.432124	3.963	INT_PERC
357.395149	1.088	INT_OBJ
358.482677	6.123	INT_ACT
364.605512	1.723	INT_EMO
366.328591	2.841	EXT_OTHER
369.169652	2.774	EXT_SEM
371.943427	3.837	INT_OBJ
375.780537	0.709	INT_PERC
376.489298	3.536	INT_OBJ
380.025327	0.552	INT_ACT
380.576838	3.676	INT_OBJ
384.252691	0.872	INT_ACT
385.124654	2.979	INT_OBJ
388.103723	1.39	INT_ACT
389.493268	2.447	INT_PERC
391.939989	2.024	INT_ACT
393.963886	3.742	INT_OBJ
397.705661	1.156	INT_ACT
398.86206	2.098	INT_OBJ
400.959648	5.613	EXT_OTHER
406.57235	3.704	INT_PERC
410.276511	1.038	INT_OBJ
411.314153	1.952	INT_PERC
413.266049	2.14	INT_OBJ
415.40561	0.279	INT_ACT
415.684975	4.201	INT_OBJ
419.886339	3.504	EXT_SEM
423.389877	5.9	INT_ACT
429.290294	2.952	INT_OBJ
432.24191	5.848	INT_EMO
438.090223	0.711	EXT_EPI
