onset	duration	condition_type
0	11	stimPicChoice
11	5	stimCuePic
16	118.2	AB_6mo
21.148672	4.864	INT_TIME
26.012444	0.801	INT_OTHER
26.81377	1.267	INT_PLACE
28.08089	8.126	INT_PERSON
36.207305	0.609	INT_OTHER
36.815922	5.159	INT_ACT
41.974706	7.78	INT_PERC
49.75441	0.569	INT_OBJ
50.323117	2.963	INT_PERC
53.286274	0.878	INT_PERSON
54.164278	7.228	INT_TIME
61.392051	4.688	INT_ACT
66.079983	1.866	INT_PERC
67.945743	5.328	INT_ACT
73.273449	1.91	INT_PERC
75.183715	1.167	INT_ACT
76.350327	2.749	INT_PERC
79.099336	4.438	INT_ACT
83.537409	6.088	INT_PLACE
89.624962	4.184	INT_PERC
93.809137	2.356	INT_OBJ
96.165074	3.234	INT_EMO
99.399034	2.175	INT_ACT
101.573867	2.01	INT_OBJ
103.584339	9.867	INT_PERSON
113.451581	1.886	INT_PERC
115.337295	7.556	INT_OBJ
122.893435	3.831	INT_PERC
126.723977	2.473	INT_OTHER
129.197314	2.114	INT_ACT
154	11	stimPicChoice
165	5	stimCuePic
170	118.2	AB_today
171.786372	3.263	INT_OTHER
175.048957	0.688	INT_TIME
175.737392	7.958	INT_ACT
183.695099	2.923	INT_PERSON
186.618455	2.62	INT_PERC
189.238614	2.367	INT_PERSON
191.605132	0.748	INT_PERC
192.353431	2.12	INT_PERSON
194.473022	7.782	INT_OTHER
202.255195	3.562	INT_PERC
205.817155	8.457	EXT_REP
214.27424	2.469	INT_ACT
216.743022	4.491	INT_OTHER
221.233541	3.13	EXT_REP
224.363387	7.471	INT_PERC
231.833903	2.804	INT_PERSON
234.637532	7.824	EXT_REP
242.461974	2.454	INT_PERC
244.916396	1.038	INT_OBJ
245.954038	2.691	INT_PERSON
248.645359	1.041	INT_ACT
249.686372	3.094	INT_PERC
252.780293	9.743	INT_ACT
262.52373	8.161	INT_OBJ
270.685149	1.936	INT_PERC
276.028478	0.589	INT_ACT
276.617141	1.028	INT_OBJ
277.644805	0.828	INT_PERSON
278.472923	3.014	INT_ACT
281.487166	3.145	INT_OBJ
308	11	stimPicChoice
319	5	stimCuePic
324	118.2	AB_5yr
325.560972	4.184	INT_TIME
329.745085	0.858	INT_PERSON
330.603134	2.548	INT_PLACE
333.150803	5.568	INT_OTHER
338.718316	2.994	INT_PLACE
341.712067	2.916	EXT_SEM
344.628093	2.284	INT_PERC
346.911705	1.417	INT_PERSON
348.328485	2.901	INT_PERC
351.229968	8.873	INT_OTHER
360.102752	1.656	INT_PLACE
361.758988	3.814	INT_PERC
365.57266	0.728	INT_OTHER
366.301005	1.1	INT_PERC
367.400991	2.296	INT_OTHER
369.696732	2.355	INT_TIME
372.051381	4.397	INT_OTHER
376.448398	6.905	INT_PERC
383.353273	5.482	INT_PERSON
388.834984	7.35	INT_EMO
396.185304	1.766	EXT_REP
397.951291	11.735	INT_OTHER
409.686506	1.686	INT_PLACE
411.372674	3.021	INT_PERSON
414.393307	0.681	INT_ACT
415.073969	7.88	INT_OTHER
428.44459	2.555	EXT_REP
430.999201	8.192	INT_ACT
