onset	duration	condition_type
0	11	stimPicChoice
11	5	stimCuePic
16	118.2	AB_6mo
18.148472	1.004	EXT_OTHER
19.152015	0.896	INT_PERC
20.048027	0.988	INT_PERSON
21.035782	1.387	EXT_OTHER
22.42263	2.192	INT_TIME
24.615085	1.544	INT_PLACE
26.159254	8.462	EXT_SEM
34.621349	1.111	EXT_OTHER
35.731888	1.84	EXT_SEM
37.571464	1.441	EXT_REP
39.012732	3.906	EXT_OTHER
42.918506	2.906	INT_ACT
45.824143	1.193	INT_PERSON
47.017279	8.694	EXT_SEM
55.710906	1.159	INT_ACT
56.870155	5.129	INT_PERSON
61.99898	2.201	INT_ACT
64.200373	2.099	INT_PLACE
66.299669	0.519	INT_EMO
66.81849	0.908	INT_ACT
67.726426	0.688	INT_PLACE
68.414862	5.554	EXT_OTHER
73.968723	20.377	EXT_SEM
94.345412	1.761	INT_ACT
96.106015	1.739	EXT_REP
97.844642	11.708	EXT_SEM
109.552296	0.479	EXT_OTHER
110.031207	6.745	EXT_SEM
120.503684	2.195	EXT_SEM
122.698696	0.788	EXT_REP
123.486266	1.702	INT_ACT
125.188149	1.56	INT_OTHER
126.747893	0.13	INT_ACT
126.877599	0.459	INT_OBJ
127.336555	5.593	EXT_SEM
154	11	stimPicChoice
165	5	stimCuePic
170	118.2	AB_today
171.507872	2.25	EXT_OTHER
173.7583	12.668	EXT_SEM
186.42611	2.398	INT_ACT
188.824038	2.997	INT_TIME
191.821511	2.549	INT_OTHER
194.370981	6.231	EXT_EPI
200.601923	5.041	EXT_OTHER
205.643106	1.747	INT_EMO
207.389925	14.207	EXT_SEM
221.597134	3.594	EXT_OTHER
225.191617	1.628	INT_TIME
226.819203	2.263	EXT_OTHER
229.082563	1.437	INT_ACT
230.519297	0.668	INT_OTHER
231.187778	2.125	EXT_EPI
233.312948	5.292	EXT_SEM
238.605162	0.848	EXT_OTHER
239.453234	13.229	EXT_SEM
252.682145	6.863	EXT_OTHER
259.545403	5.796	INT_ACT
265.34092	2.684	INT_OTHER
268.02482	4.251	INT_EMO
272.276178	1.254	INT_PERC
273.530237	2.289	INT_PERSON
275.819378	3.133	INT_OTHER
278.952258	7.046	EXT_SEM
308	11	stimPicChoice
319	5	stimCuePic
324	118.2	AB_5yr
325.038372	9.806	EXT_OTHER
334.844719	10.429	EXT_SEM
345.273345	10.544	EXT_OTHER
355.817209	1.417	INT_PERSON
357.233989	1.277	INT_ACT
358.511087	5.294	EXT_SEM
363.80529	2.142	INT_ACT
365.94712	0.998	INT_PLACE
366.944853	3.254	EXT_OTHER
370.198368	4.159	EXT_SEM
374.357492	0.868	EXT_OTHER
375.225519	2.712	INT_ACT
377.9378	0.569	INT_OBJ
378.506508	12.728	EXT_SEM
391.234661	3.629	INT_PERC
394.863583	3.964	EXT_SEM
398.827224	2.365	EXT_REP
401.19185	7.823	INT_ACT
409.01506	0.539	INT_OTHER
409.553836	2.225	EXT_SEM
411.778779	5.402	INT_ACT
417.180798	2.234	INT_PERC
419.41491	0.858	INT_ACT
420.27296	1.372	INT_PERC
421.644991	0.519	INT_OBJ
422.163812	1.297	INT_PERC
423.460864	5.804	EXT_OTHER
429.264852	3.242	INT_PERSON
432.506467	7.743	EXT_OTHER
