onset	duration	condition_type
0	11	stimPicChoice
11	5	stimCuePic
16	118.2	AB_today
17.084972	2.988	EXT_OTHER
20.072622	1.527	INT_TIME
21.599152	3.816	INT_ACT
25.414757	0.599	INT_OBJ
26.013396	3.744	INT_ACT
29.757194	2.887	INT_EMO
32.643716	2.069	INT_ACT
34.712752	1.46	INT_OBJ
36.172955	1.068	INT_ACT
37.240529	2.251	INT_OBJ
39.491749	3.601	INT_PERC
43.092904	2.276	EXT_OTHER
45.369103	8.563	EXT_SEM
53.932336	1.078	EXT_REP
55.009887	2.432	INT_PERC
57.441388	5.375	INT_ACT
62.816443	1.87	INT_PLACE
64.686463	1.166	INT_ACT
65.852008	3.95	INT_OBJ
69.802189	2.289	EXT_SEM
72.091683	3.756	EXT_OTHER
75.847289	10.646	INT_OBJ
86.493009	3.857	INT_ACT
90.350248	1.646	EXT_OTHER
91.996507	2.115	INT_PERC
94.1117	3.548	EXT_OTHER
97.660082	4.85	EXT_SEM
102.509849	6.671	INT_ACT
109.180795	2.709	INT_OBJ
111.890161	4.192	INT_ACT
116.081895	1.556	INT_OBJ
117.637706	1.868	INT_ACT
119.505472	1.127	INT_OBJ
120.63291	1.777	INT_ACT
122.409426	4.794	INT_PERC
127.203916	1.385	INT_ACT
128.588946	0.788	INT_PLACE
129.377154	2.649	INT_ACT
132.026256	0.948	INT_OBJ
154	11	stimPicChoice
165	5	stimCuePic
170	118.2	AB_5yr
170.997122	3.281	INT_OTHER
174.278358	1.668	INT_ACT
175.945874	2.423	INT_PERSON
178.368645	2.099	INT_PLACE
180.467411	10.694	EXT_SEM
191.161156	2.343	INT_PLACE
193.50366	1.194	INT_TIME
194.69719	9.19	INT_PLACE
203.886976	11.861	EXT_SEM
215.747797	1.876	INT_ACT
217.623764	1.267	INT_OTHER
218.890885	2.484	INT_ACT
221.375238	4.755	INT_PERC
226.13061	6.805	INT_ACT
232.935414	3.005	EXT_SEM
235.940787	5.39	INT_PERC
241.330526	6.33	EXT_SEM
247.66018	1.716	INT_ACT
249.37628	9.227	EXT_SEM
258.602849	1.972	INT_PERC
260.574693	1.337	INT_ACT
261.911655	1.237	INT_PERC
263.148843	5.582	EXT_SEM
268.731179	1.347	INT_OTHER
270.078117	4.446	INT_ACT
274.52447	2.045	EXT_REP
276.569822	2.24	EXT_OTHER
278.809891	4.183	INT_PERC
282.993334	2.922	INT_PERSON
285.915749	0.12	INT_ACT
286.035476	0.728	INT_OTHER
308	11	stimPicChoice
319	5	stimCuePic
324	118.2	AB_6mo
325.147172	3.891	EXT_SEM
329.038328	6.69	EXT_EPI
335.728513	4.674	EXT_OTHER
340.402956	3.097	INT_OTHER
343.499525	2.977	INT_PLACE
346.476971	3.618	INT_PERSON
350.095404	0.878	INT_PLACE
350.973409	10.23	INT_PERC
361.203626	1.237	EXT_REP
362.440814	3.473	EXT_SEM
365.913938	2.291	INT_PLACE
368.204559	2.02	INT_ACT
370.224418	4.522	INT_OTHER
374.746753	0.888	INT_ACT
375.634735	8.373	INT_OTHER
384.007599	3.734	INT_ACT
387.74154	3.846	EXT_EPI
391.58712	2.492	INT_ACT
394.079032	2.588	INT_OBJ
396.666865	2.514	EXT_REP
399.181151	2.105	INT_PERSON
401.286366	4.712	INT_PERC
405.998756	5.599	INT_ACT
411.597948	3.445	INT_PLACE
415.0425	1.199	INT_OBJ
416.241169	2.158	INT_PERC
418.399647	0.509	INT_ACT
418.90849	1.816	INT_PLACE
420.724342	2.005	INT_ACT
422.729024	1.952	INT_PERC
424.680722	8.86	EXT_SEM
433.541061	6.195	INT_PERC
