onset	duration	condition_type
0	11	stimPicChoice
11	5	stimCuePic
16	118.2	PD
17.585672	2.375	INT_PLACE
19.960275	1.596	INT_PERC
21.556598	0.349	INT_PERSON
21.905804	1.916	INT_PERC
23.821451	3.834	INT_OBJ
27.655392	5.457	INT_PERC
33.112172	2.097	EXT_OTHER
35.209365	5.726	INT_PERC
40.935013	0.988	EXT_REP
41.922768	0.918	INT_OBJ
42.840682	3.913	INT_PERC
46.753287	0.599	INT_OTHER
47.351927	1.25	INT_OBJ
48.601794	1.856	INT_PERC
50.457576	2.892	INT_PERSON
53.349361	1.848	INT_OTHER
55.197228	2.744	INT_ACT
57.940992	3.129	INT_PERSON
61.069754	6.354	INT_ACT
67.423766	3.031	INT_PERC
70.454552	1.329	INT_PERSON
71.783188	2.014	INT_PERC
73.796956	2.536	INT_PERSON
76.332885	1.241	INT_PERC
77.574204	0.874	INT_PERSON
78.448077	0.958	INT_ACT
79.4059	1.612	INT_OBJ
81.018261	1.556	INT_PERSON
82.574723	3.047	INT_ACT
85.621336	5.167	INT_OBJ
90.788219	0.998	INT_PERC
91.785951	3.077	INT_OBJ
94.86345	1.316	EXT_OTHER
96.17906	2.232	EXT_REP
98.411042	3.481	INT_PERC
101.89254	8.008	EXT_SEM
109.900077	0.668	EXT_OTHER
110.568557	1.946	INT_OBJ
112.514136	1.923	EXT_OTHER
114.437105	3.257	INT_OTHER
117.694098	6.258	EXT_OTHER
123.951971	1.192	INT_PLACE
125.144081	5.371	INT_PERC
130.51513	2.9	EXT_OTHER
154	11	stimPicChoice
165	5	stimCuePic
170	118.2	PD
172.002694	6.2	INT_OTHER
178.203138	3.083	EXT_OTHER
181.286131	4.471	INT_OBJ
185.757358	2.455	INT_PERC
188.212639	8.14	EXT_SEM
196.352548	3.459	INT_PERC
199.811311	0.489	INT_OBJ
200.3002	2.568	INT_PERC
202.868323	10.104	EXT_SEM
212.972737	2.652	INT_PERC
215.624787	1.457	INT_OBJ
217.082045	12.085	INT_PERC
229.167066	5.509	EXT_SEM
234.676212	8.454	INT_PERC
243.130648	1.616	INT_OBJ
244.746974	0.888	INT_PERC
245.634956	4.769	EXT_REP
250.404027	8.143	INT_PERC
258.546682	3.591	EXT_OTHER
262.137466	6.309	INT_PLACE
268.446529	3.74	INT_PERC
272.186403	6.355	EXT_OTHER
278.541843	8.119	INT_PERC
308	11	stimPicChoice
319	5	stimCuePic
324	118.2	PD
325.641272	5.503	INT_PLACE
331.144739	2.6	INT_PERC
333.744334	3.974	INT_OBJ
337.718129	8.724	INT_PERC
346.441906	0.738	INT_OBJ
347.180228	2.267	INT_PERSON
349.447427	1.09	INT_ACT
350.537804	1.197	EXT_REP
351.735083	3.218	EXT_OTHER
354.953317	9.428	INT_PERC
364.38174	2.524	INT_PLACE
366.906003	3.622	EXT_OTHER
370.528072	1.502	INT_OBJ
372.029881	2.825	EXT_REP
374.855211	3.371	INT_PERC
378.226489	0.848	INT_OBJ
379.074561	0.509	EXT_OTHER
379.583405	1.576	INT_ACT
381.159247	5.18	INT_PERC
386.339605	0.489	INT_PERSON
386.828494	2.502	EXT_OTHER
389.330453	0.07	INT_PERSON
389.400294	4.233	INT_ACT
393.633454	2.311	INT_PERSON
395.944291	2.415	INT_ACT
398.358803	3.611	INT_PERC
401.97014	2.594	EXT_OTHER
404.564617	5.053	INT_PERC
409.617646	4.084	INT_PERSON
413.701624	2.733	INT_PERC
416.435105	3.103	EXT_OTHER
419.538001	8.732	EXT_REP
428.270298	1.277	INT_PERC
429.547395	2.83	INT_OBJ
432.377853	3.052	INT_PERC
435.430052	8.478	EXT_OTHER
