onset	duration	condition_type
0	11	stimPicChoice
11	5	stimCuePic
16	118.2	AB_6mo
17.959972	4.66	EXT_OTHER
22.620015	5.266	INT_TIME
27.885902	4.547	INT_PLACE
32.432409	6.8	EXT_EPI
39.232639	0.802	EXT_SEM
40.034658	5.905	EXT_EPI
45.940133	2.916	INT_PERC
48.856264	5.671	EXT_EPI
54.527363	0.765	INT_ACT
55.292079	1.072	INT_PERSON
56.364546	6.698	EXT_SEM
63.062653	1.014	EXT_REP
64.076159	3.149	INT_PLACE
67.225507	0.848	INT_PERC
68.073772	2.025	INT_PLACE
70.099169	0.297	INT_ACT
70.396279	0.457	INT_PERC
70.853243	1.448	INT_OBJ
72.301705	1.753	INT_PERC
74.054955	2.327	EXT_SEM
76.381742	2.088	INT_PERC
78.469871	6.465	EXT_REP
84.934833	0.205	INT_PERSON
85.140001	1.338	INT_PERC
86.478253	10.4	INT_PERSON
96.878212	2.081	EXT_EPI
98.959174	5.613	INT_ACT
104.572335	0.678	INT_OTHER
105.250775	3.121	EXT_OTHER
108.371994	4.65	INT_ACT
113.021934	5.724	INT_OTHER
118.746401	13.768	EXT_SEM
154	11	stimPicChoice
165	5	stimCuePic
170	118.2	AB_5yr
173.621172	5.353	EXT_OTHER
178.974284	5.292	EXT_SEM
184.266012	12.834	INT_TIME
197.099936	2.056	INT_PLACE
199.156275	2.187	INT_PERSON
201.343176	1.04	INT_ACT
202.383002	1.324	EXT_OTHER
203.70719	0.942	EXT_EPI
204.649096	9.517	INT_PERC
214.166077	4.858	INT_TIME
219.024133	2.193	INT_ACT
221.217403	2.626	INT_PLACE
223.843432	3.404	EXT_REP
227.247349	7.282	EXT_OTHER
234.52912	5.101	EXT_REP
239.630257	7.511	EXT_EPI
247.141121	1.315	EXT_REP
248.456058	5.984	EXT_OTHER
254.439899	1.301	INT_PERC
255.740848	5.116	INT_EMO
260.857044	6.251	EXT_SEM
267.108007	1.291	INT_ACT
268.399349	7.146	EXT_SEM
275.545489	7.672	INT_PERC
283.217108	4.033	EXT_OTHER
308	11	stimPicChoice
319	5	stimCuePic
324	118.2	AB_today
325.510372	5.623	INT_TIME
331.132934	3.798	INT_OTHER
334.931288	0.825	INT_ACT
335.756622	2.69	INT_OBJ
338.446896	4.316	INT_PERC
342.76271	0.31	INT_ACT
343.072618	1.18	INT_PERSON
344.252331	6.502	EXT_SEM
350.75401	1.324	EXT_REP
352.078273	3.924	INT_EMO
356.001853	6.183	INT_ACT
362.184821	2.746	EXT_EPI
364.931291	2.951	INT_ACT
367.882625	5.817	INT_PLACE
373.699545	2.89	EXT_SEM
376.589651	2.456	INT_EMO
379.045461	1.247	INT_PERC
380.292627	0.607	EXT_REP
380.899986	0.802	INT_PERC
381.702005	2.721	INT_ACT
384.42337	3.794	INT_PERSON
388.217061	0.508	INT_PLACE
388.725318	2.014	INT_PERC
390.73969	1.45	INT_OBJ
392.189852	4.459	INT_PERC
396.648586	0.676	INT_OBJ
397.324706	3.78	INT_EMO
401.105019	2.848	INT_ACT
403.953097	1.915	EXT_EPI
405.868187	8.462	EXT_SEM
414.330052	2.472	INT_ACT
416.801717	2.098	EXT_EPI
418.899944	5.686	EXT_SEM
424.585666	3.207	INT_ACT
427.792407	10.894	EXT_EPI
438.68613	1.727	EXT_REP
