onset	duration	condition_type
0	11	stimPicChoice
11	5	stimCuePic
16	118.2	PD
19.752728	3.851	EXT_SEM
23.603516	2.054	INT_PLACE
25.657544	0.8	INT_PERC
26.457783	5.359	EXT_OTHER
31.816403	0.486	INT_PERC
32.302421	0.724	INT_PERSON
33.026196	6.182	INT_PERC
39.208209	0.378	INT_PLACE
39.585963	2.475	INT_PERC
42.060514	3.014	EXT_REP
45.07414	1.717	INT_OTHER
46.791086	3.51	INT_PERC
50.300928	1.026	INT_ACT
51.32736	3.274	INT_OTHER
54.601287	1.429	EXT_REP
56.030198	1.331	EXT_OTHER
57.361375	3.116	INT_PERC
60.477206	3.865	INT_OTHER
64.341749	11.377	EXT_OTHER
75.718262	4.278	INT_PERC
79.995842	3.174	INT_OBJ
83.170018	1.899	EXT_OTHER
85.069329	7.444	INT_PERC
92.51353	0.661	INT_PLACE
93.174883	7.65	INT_PERC
100.824852	1.809	INT_PLACE
102.633365	2.307	EXT_OTHER
104.940512	4.085	EXT_REP
109.025984	4.759	INT_PERC
113.784738	1.735	INT_OTHER
115.519823	5.072	EXT_SEM
120.591853	1.353	EXT_REP
121.944979	6.966	EXT_SEM
128.911332	3.782	EXT_OTHER
154	11	stimPicChoice
165	5	stimCuePic
170	118.2	PD
175.327936	1.872	INT_PERC
177.20009	0.642	INT_PERSON
177.841705	0.716	INT_ACT
178.55746	0.711	INT_OBJ
179.268553	4.026	INT_PERC
183.295022	4.116	EXT_SEM
187.411435	0.443	INT_PERSON
187.854789	1.564	INT_PERC
190.216785	0.307	INT_OBJ
190.523979	5.038	EXT_SEM
195.562468	1.896	EXT_OTHER
197.458285	9.983	EXT_SEM
207.441488	4.428	EXT_OTHER
211.869109	1.849	EXT_REP
213.718026	6.568	EXT_SEM
220.286193	0.79	INT_ACT
221.076656	1.359	INT_OBJ
222.435356	12.772	INT_PERC
235.206876	1.522	EXT_OTHER
236.729142	1.559	INT_ACT
238.288091	14.305	EXT_SEM
252.593341	6.172	INT_PERC
258.765232	1.27	INT_OBJ
260.035077	8.712	INT_PERC
268.746822	1.158	INT_OBJ
269.904406	1.501	EXT_OTHER
271.405281	1.76	EXT_REP
273.165058	6.755	INT_PERC
279.920031	4.125	EXT_OTHER
308	11	stimPicChoice
319	5	stimCuePic
324	118.2	PD
326.111914	1.521	INT_PERC
327.63307	0.347	INT_PERSON
327.979893	1.179	INT_ACT
329.158937	1.518	INT_PERC
330.676513	1.52	EXT_SEM
332.196606	4.919	INT_PERC
337.116001	1.352	EXT_OTHER
338.468172	7.147	INT_PERC
345.61491	1.161	INT_OTHER
346.776115	1.065	INT_PERSON
347.840897	1.6	INT_PLACE
349.440597	7.154	INT_PERC
356.595013	0.818	INT_OBJ
357.413184	5.287	INT_ACT
362.700541	0.903	INT_PERSON
363.603563	3.222	INT_ACT
366.825198	6.614	INT_PLACE
373.439652	2.951	INT_PERC
376.390156	1.219	EXT_OTHER
377.609314	2.832	INT_EMO
380.440855	5.802	EXT_SEM
386.24261	1.861	EXT_OTHER
388.103762	1.693	INT_PERC
389.797027	6.323	INT_PERSON
396.119611	0.968	INT_OTHER
397.087256	7.122	INT_PERSON
404.209107	1.377	INT_PERC
