onset	duration	condition_type
0	11	stimPicChoice
11	5	stimCuePic
16	118.2	PD
16.015692	3.798	INT_PLACE
19.813848	16.755	INT_PERC
36.569235	1.282	INT_PERSON
37.851011	1.123	INT_ACT
38.974503	1.778	INT_OBJ
40.752678	2.009	INT_PERC
42.761781	0.34	INT_ACT
43.102097	1.724	INT_PERC
44.826036	2.267	INT_PERSON
47.093482	2.195	INT_PERC
49.288979	1.613	INT_OBJ
50.901598	2.985	INT_PERC
53.886991	4.146	INT_OBJ
58.033149	0.76	INT_PERSON
58.793488	0.396	INT_ACT
59.189451	2.267	INT_PERC
61.456493	1.653	INT_PERSON
63.10984	2.113	INT_PERC
65.222649	0.338	INT_ACT
65.560986	0.829	INT_PERC
66.389817	1.582	INT_OTHER
67.972164	0.618	INT_PERC
68.590193	2.144	INT_PERSON
70.733938	3.91	INT_OBJ
74.643669	2.237	EXT_SEM
76.880775	3.288	INT_PERC
80.168447	0.541	INT_PLACE
80.709527	3.191	INT_PERC
83.900186	1.069	INT_PERSON
84.969373	0.569	INT_PERC
85.538604	2.683	INT_PERSON
88.221585	3.942	INT_PERC
92.163104	2.401	EXT_SEM
94.563648	5.151	EXT_OTHER
99.714609	2.925	INT_PERC
154	11	stimPicChoice
165	5	stimCuePic
170	118.2	PD
177.527852	3.526	INT_PLACE
181.053483	1.746	EXT_OTHER
182.799359	3.739	INT_PERC
186.537926	0.808	INT_OBJ
187.345612	4.476	EXT_OTHER
191.821266	5.032	INT_PERC
196.853193	0.741	EXT_REP
197.594403	0.337	INT_PERC
197.931593	0.219	EXT_REP
198.150965	1.908	INT_OBJ
200.058832	6.369	INT_PERC
206.427674	2.193	EXT_OTHER
208.620476	0.684	INT_PERC
209.304495	0.432	INT_OBJ
209.73659	8.197	INT_PERC
217.93325	1.057	EXT_OTHER
218.99053	0.849	INT_PERSON
219.839763	11.171	INT_PERC
231.010852	3.428	INT_OBJ
234.439053	5.895	EXT_SEM
240.334325	5.285	EXT_OTHER
245.61928	0.279	INT_OTHER
245.89848	5.719	INT_PERC
251.617398	2.928	EXT_OTHER
254.544955	6.341	EXT_REP
260.88577	2.556	INT_OBJ
263.442001	2.937	EXT_SEM
266.379235	0.966	INT_PERC
267.344802	0.34	INT_OBJ
267.68474	2.798	EXT_REP
270.483181	5.245	EXT_OTHER
308	11	stimPicChoice
319	5	stimCuePic
324	118.2	PD
325.994289	4.675	INT_PLACE
330.669283	1.414	EXT_OTHER
332.083588	3.487	INT_PLACE
335.570871	2.953	INT_PERC
338.523431	1.087	INT_PLACE
339.610433	0.947	INT_PERC
340.557474	3.075	EXT_SEM
343.632895	2.516	INT_PERC
346.148919	1.193	INT_OBJ
347.34197	1.395	EXT_SEM
348.73723	3.142	INT_OBJ
351.878931	0.985	INT_PERC
352.863674	2.885	EXT_REP
355.748561	0.521	INT_OBJ
356.269969	8.012	INT_PERC
364.282449	1.988	INT_OBJ
366.270868	5.733	INT_PERC
372.003503	1.407	INT_PLACE
373.410329	1.537	INT_PERC
374.947502	6.615	EXT_OTHER
381.562943	4.729	INT_PERC
386.292117	1.08	INT_PLACE
387.372492	1.237	INT_PERC
388.609789	0.701	INT_OBJ
389.311259	5.427	EXT_OTHER
394.738571	2.772	INT_PERC
397.510236	5.766	EXT_OTHER
403.275824	3.822	INT_PERC
407.097833	0.215	EXT_OTHER
407.313245	4.414	EXT_SEM
411.727445	2.787	INT_PERC
414.514195	5.163	EXT_OTHER
419.676915	1.623	INT_PERC
421.300275	0.379	INT_PERSON
421.679579	1.867	INT_ACT
423.546656	2.432	EXT_REP
425.97863	3.802	INT_OBJ
429.780418	10.218	INT_PERC
