onset	duration	condition_type
0	11	stimPicChoice
11	5	stimCuePic
16	118.2	AB_5yr
18.005369	2.788	INT_TIME
20.793769	3.794	INT_OTHER
24.588242	2.983	INT_PLACE
27.571462	2.872	INT_PERC
30.443866	7.429	EXT_OTHER
37.872867	1.247	EXT_REP
39.120033	9.274	INT_PERSON
48.393721	3.364	INT_OBJ
51.757552	2.131	INT_ACT
53.888895	1.936	INT_OTHER
55.824496	2.839	INT_ACT
58.663421	1.625	INT_TIME
60.288009	2.035	INT_ACT
62.323384	1.035	INT_OBJ
63.358531	2.285	INT_ACT
65.643338	0.659	INT_PERSON
66.301842	1.417	INT_OBJ
67.718389	7.152	INT_ACT
74.87027	7.505	INT_EMO
82.375094	2.822	INT_OBJ
85.196677	0.319	INT_PERC
85.515951	8.429	INT_EMO
93.94513	1.546	INT_ACT
95.491124	1.327	INT_PERC
96.818108	1.913	INT_OBJ
98.731503	0.908	INT_ACT
99.639439	0.868	INT_PERC
100.507466	0.569	INT_PERSON
101.076174	1.231	INT_ACT
102.307056	0.499	INT_PERC
102.805922	1.716	INT_PERSON
104.521944	2.115	INT_OTHER
106.637137	2.901	INT_PERC
109.537864	0.838	INT_PERSON
110.375959	1.134	INT_PERC
111.509575	1.351	INT_ACT
112.860313	1.934	INT_PERSON
114.794711	3.719	INT_OBJ
118.513401	0.374	INT_PERSON
118.887525	1.103	INT_EMO
119.990045	5.041	INT_PERC
125.031475	1.317	INT_PERSON
126.348482	0.788	INT_ACT
127.136691	0.599	INT_OBJ
127.73533	1.399	INT_ACT
129.13397	3.932	INT_EMO
154	11	stimPicChoice
165	5	stimCuePic
170	118.2	AB_today
172.150732	1.546	EXT_EPI
173.697217	1.676	EXT_OTHER
175.373407	1.889	INT_TIME
177.261923	28.106	EXT_EPI
205.367974	1.028	EXT_SEM
206.395638	19.076	EXT_EPI
225.471552	2.716	INT_OBJ
228.187683	1.855	INT_TIME
230.042968	1.367	INT_ACT
231.409861	1.727	INT_OTHER
233.136864	2.529	INT_ACT
235.666049	0.718	INT_EMO
236.384417	0.339	INT_PERC
236.723646	0.688	INT_OBJ
237.412081	1.207	INT_EMO
238.619337	1.407	INT_OBJ
240.02614	5.526	EXT_SEM
245.552614	0.778	INT_ACT
246.330845	2.355	INT_OTHER
248.685493	2.571	INT_ACT
251.256733	2.577	INT_PERSON
253.834029	0.968	INT_ACT
254.80183	0.499	INT_OTHER
255.300696	0.639	INT_PERC
255.939244	0.818	INT_OBJ
256.757385	0.748	INT_PERC
257.505684	1.893	INT_OBJ
259.398861	1.207	INT_ACT
260.606117	0.798	INT_OTHER
261.404303	0.339	INT_ACT
261.743532	1.75	INT_OTHER
263.493768	0.17	INT_ACT
263.663382	0.868	INT_OTHER
264.531409	0.19	INT_ACT
264.720978	4.54	INT_OTHER
269.260966	1.493	INT_ACT
270.75437	1.866	EXT_REP
272.62013	4.171	INT_OTHER
276.790988	1.078	INT_ACT
277.868539	1.238	INT_OTHER
279.106298	0.649	INT_EMO
279.754824	1.048	INT_ACT
280.802443	1.767	INT_PERC
282.569004	0.489	INT_PERSON
283.057892	0.748	INT_ACT
283.806192	2.746	EXT_OTHER
308	11	stimPicChoice
319	5	stimCuePic
324	118.2	AB_6mo
325.513651	1.034	INT_TIME
326.547865	2.332	INT_OTHER
328.880309	4.728	INT_PERSON
333.607898	3.48	INT_TIME
337.088328	1.437	INT_PLACE
338.525063	2.103	INT_ACT
340.627892	2.646	INT_TIME
343.273643	1.543	INT_ACT
344.816878	0.708	INT_OBJ
345.525268	5.077	INT_PLACE
350.602286	6.736	EXT_SEM
357.338517	1.833	INT_ACT
359.171215	0.459	INT_PERSON
359.630172	0.549	INT_ACT
360.178925	0.798	INT_PERC
360.977111	2.958	EXT_OTHER
363.935568	0.627	EXT_EPI
364.562706	2.792	INT_ACT
367.354509	1.726	INT_EMO
369.080586	2.807	INT_ACT
371.887689	1.626	INT_EMO
373.513993	1.877	INT_ACT
375.391139	0.426	INT_PERSON
375.817546	1.529	INT_ACT
377.346859	1.468	INT_OTHER
378.814933	1.702	INT_ACT
380.516866	1.455	INT_PLACE
381.971941	2.155	INT_ACT
384.126864	1.771	INT_PLACE
385.89756	1.776	INT_PERC
387.673524	1.332	INT_PERSON
389.005206	1.851	EXT_SEM
390.855707	1.871	INT_ACT
392.726748	2.201	INT_PLACE
394.92767	4.599	INT_EMO
399.526952	0.773	INT_ACT
400.300107	0.938	INT_PERC
401.237975	0.519	INT_ACT
401.756796	0.818	INT_PERC
402.574936	1.494	INT_EMO
404.069392	1.985	INT_ACT
406.054879	1.834	INT_OTHER
407.888705	1.379	INT_EMO
409.267728	0.379	INT_PERSON
409.646867	2.965	INT_ACT
412.611491	0.279	INT_EMO
412.890856	2.702	INT_OTHER
415.592784	0.519	EXT_OTHER
416.111605	0.19	INT_PERSON
416.301174	0.898	INT_ACT
417.199133	2.268	INT_OBJ
419.467608	1.561	EXT_OTHER
421.028871	2.802	EXT_SEM
423.830766	4.089	EXT_OTHER
427.919968	1.038	INT_PERC
428.95761	0.319	INT_PLACE
429.276884	2.166	INT_PERC
431.442482	1.098	INT_PLACE
432.539988	0.868	INT_PERC
433.408015	1.237	INT_PLACE
434.645203	2.019	INT_PERC
436.664196	1.776	INT_OBJ
438.440159	1.956	EXT_SEM
