onset	duration	condition_type
0	11	stimPicChoice
11	5	stimCuePic
16	118.2	PD
16.554331	2.804	INT_PERC
19.357959	0.239	INT_PERSON
19.597415	1.038	INT_PLACE
20.635056	3.562	INT_PERC
24.196961	2.005	INT_OBJ
26.202403	1.626	INT_PERC
27.828707	1.117	INT_PLACE
28.946168	3.961	INT_PERC
32.907165	3.173	INT_PERSON
36.079954	4.45	INT_PERC
40.529841	2.634	INT_OBJ
43.163855	4.919	INT_PERC
48.082676	3.223	INT_PERSON
51.305351	2.025	INT_OTHER
53.330748	1.197	INT_PERC
54.528027	0.708	INT_OBJ
55.236417	2.863	INT_PERC
58.099909	0.838	INT_ACT
58.938004	0.668	INT_OBJ
59.606485	4.52	INT_PERC
64.126213	2.289	INT_PERSON
66.414829	5.133	INT_PERC
71.54747	3.68	INT_ACT
75.227798	0.359	INT_OBJ
75.586982	8.068	INT_PERC
83.654524	1.367	INT_OBJ
85.021417	4.061	EXT_SEM
89.082188	1.995	EXT_REP
91.077653	8.077	INT_PERC
99.154992	1.48	INT_OBJ
100.635484	4.034	INT_PERC
104.669355	2.564	INT_OBJ
107.23316	3.374	INT_PERC
110.607634	2.671	INT_OBJ
113.278359	7.22	INT_EMO
120.497939	8.735	INT_PERSON
129.233421	1.197	INT_PERC
130.4307	1.947	INT_OBJ
154	11	stimPicChoice
165	5	stimCuePic
170	118.2	PD
171.306332	8.465	EXT_SEM
179.77156	4.921	INT_PERSON
184.692697	0.988	INT_PERC
185.680452	5.666	EXT_SEM
191.346251	3.182	INT_PERC
194.528053	1.457	INT_PERSON
195.984743	0.858	INT_PERC
196.842792	6.349	INT_PLACE
203.19212	11.319	INT_PERC
214.511241	1.217	INT_PERSON
215.728475	1.107	INT_OTHER
216.835958	1.237	INT_ACT
218.073146	5.257	EXT_SEM
223.330642	2.575	INT_ACT
225.905563	16.639	INT_PERC
242.544958	3.751	INT_PERSON
246.296431	2.594	INT_PERC
248.890536	1.67	INT_OBJ
250.560775	10.622	INT_PERC
261.182912	1.955	INT_OBJ
263.137488	3.019	INT_PLACE
266.156178	6.485	INT_PERC
283.657687	1.936	INT_PERSON
285.593288	0.948	EXT_OTHER
308	11	stimPicChoice
319	5	stimCuePic
324	118.2	PD
325.194085	2.844	EXT_OTHER
328.037622	0.649	INT_PERSON
328.686148	1.696	INT_ACT
330.382294	4.19	INT_OBJ
334.57277	4.997	INT_PERC
339.570176	0.818	INT_PERSON
340.388316	1.387	INT_PLACE
341.775164	1.137	INT_ACT
342.912579	3.283	INT_PLACE
346.195982	11.21	INT_PERC
357.406173	0.868	INT_OBJ
358.2742	13.791	INT_PERSON
372.064781	5.934	INT_PERC
377.998696	2.694	EXT_OTHER
380.692574	0.599	EXT_REP
381.291213	2.128	INT_PERC
383.418998	0.958	INT_OBJ
384.376822	2.199	INT_ACT
386.575481	2.492	INT_OTHER
389.067421	5.932	INT_PERC
394.999057	4.221	INT_OBJ
399.220268	6.199	INT_PLACE
405.419619	2.778	INT_PERC
408.197231	4.592	INT_OTHER
412.78923	4.347	INT_TIME
424.517806	3.965	INT_PERSON
428.483253	4.296	INT_ACT
