onset	duration	condition_type
0	11	stimPicChoice
11	5	stimCuePic
16	118.2	AB_5yr
17.152404	6.934	EXT_SEM
24.086644	6.126	EXT_OTHER
30.212721	4.62	EXT_EPI
34.832223	32.526	EXT_SEM
67.358531	14.756	EXT_EPI
82.114996	28.565	EXT_SEM
110.680076	14.886	EXT_EPI
125.566243	2.624	EXT_SEM
128.19028	3.208	EXT_OTHER
154	11	stimPicChoice
165	5	stimCuePic
170	118.2	AB_6mo
171.500849	7.37	EXT_OTHER
178.871185	3.284	INT_TIME
182.155467	5.554	INT_PLACE
187.709961	4.896	INT_PERSON
192.605466	4.61	EXT_SEM
197.21499	1.616	INT_PERC
198.831316	4.649	INT_PLACE
203.480749	6.296	INT_PERC
209.776441	1.417	INT_OTHER
211.193221	2.419	EXT_REP
213.611997	5.393	INT_TIME
219.005466	5.198	INT_PERSON
224.203652	2.145	INT_PLACE
226.348776	4.151	INT_ACT
230.499343	0.503	INT_PERC
231.002372	3.189	INT_OBJ
234.190953	4.43	INT_PERC
238.620885	10.96	INT_OBJ
249.581146	3.023	INT_EMO
252.604275	0.967	INT_ACT
253.571696	0.804	INT_PERC
254.375333	7.338	EXT_SEM
261.713572	7.313	INT_OTHER
269.026951	1.457	INT_ACT
270.48364	2.436	INT_OBJ
272.919622	3.012	EXT_OTHER
275.931259	1.976	INT_ACT
277.906769	1.357	INT_PERSON
279.263685	3.053	INT_EMO
282.316746	1.733	INT_OBJ
284.049831	1.511	EXT_OTHER
308	11	stimPicChoice
319	5	stimCuePic
324	118.2	AB_today
324.484919	2.105	INT_TIME
326.589638	2.155	INT_ACT
328.74474	0.609	INT_PERSON
329.353356	1.177	INT_ACT
330.530681	7.681	INT_PERSON
338.211598	6.395	EXT_SEM
344.607063	4.45	INT_ACT
349.056949	5.11	INT_PERSON
354.167314	11.091	EXT_SEM
365.257926	9.171	EXT_OTHER
374.429285	13.03	EXT_SEM
387.458873	4.809	INT_ACT
392.267944	17.82	EXT_SEM
410.087445	18.668	INT_EMO
428.755018	4.101	EXT_OTHER
432.855699	8.006	INT_TIME
