onset	duration	condition_type
0	11	stimPicChoice
11	5	stimCuePic
16	118.2	AB_6mo
17.036051	10.957	EXT_EPI
27.993537	4.27	EXT_OTHER
32.263832	4.001	INT_PLACE
36.264739	3.123	INT_PERC
39.387641	2.335	INT_EMO
41.722335	21.421	EXT_SEM
63.143651	23.995	EXT_EPI
87.139115	2.913	EXT_OTHER
90.052494	4.001	EXT_SEM
94.053401	7.663	EXT_EPI
101.715986	9.139	EXT_SEM
110.855215	4.031	EXT_OTHER
114.886054	8.83	EXT_SEM
123.715986	0.868	EXT_EPI
124.584013	2.155	EXT_SEM
126.739115	5.559	EXT_EPI
154	11	stimPicChoice
165	5	stimCuePic
170	118.2	AB_5yr
171.464657	8.834	EXT_OTHER
180.298321	9.918	EXT_SEM
190.215919	4.001	EXT_OTHER
194.216826	6.984	EXT_EPI
201.200846	13.09	EXT_SEM
214.291202	8.451	INT_TIME
222.741996	3.013	INT_PLACE
225.755148	8.251	INT_PERSON
234.006395	2.704	INT_EMO
236.71025	11.873	INT_OTHER
248.583266	3.921	INT_PLACE
252.504354	5.827	INT_EMO
258.331111	3.702	INT_ACT
262.032637	4.709	EXT_OTHER
266.741996	6.046	EXT_REP
272.788254	7.353	INT_EMO
280.141542	4.834	EXT_SEM
308	11	stimPicChoice
319	5	stimCuePic
324	118.2	AB_today
325.799506	4.189	EXT_OTHER
329.988208	2.94	INT_TIME
332.928076	3.017	INT_ACT
335.944671	2.534	INT_PERC
338.478911	3.202	EXT_OTHER
341.680852	28.855	EXT_SEM
370.536054	5.557	EXT_EPI
376.093424	7.994	EXT_OTHER
384.087119	4.867	INT_TIME
388.954195	2.484	INT_PERC
391.438548	3.342	INT_PERSON
394.780952	1.726	INT_PLACE
396.507029	4.53	INT_PERSON
401.036734	15.532	EXT_SEM
416.568375	10.599	EXT_EPI
427.167347	13.313	EXT_SEM
