onset	duration	condition_type
0	11	stimPicChoice
11	5	stimCuePic
16	118.2	AB_6mo
17.237172	2.804	EXT_OTHER
20.041142	3.705	EXT_SEM
23.746021	5.046	INT_ACT
28.792294	4.621	INT_OTHER
33.413228	6.706	EXT_SEM
40.118878	2.256	INT_PERC
42.374997	1.954	INT_PERSON
44.328752	6.68	INT_ACT
51.008731	1.528	INT_PERC
52.536568	2.006	INT_PERSON
54.542913	3.819	EXT_SEM
58.362198	0.733	INT_ACT
59.095518	2	INT_PERSON
61.095842	0.788	INT_ACT
61.883872	1.422	INT_OTHER
63.306057	0.909	INT_PERC
64.215322	0.688	INT_OBJ
64.902907	1.733	INT_PLACE
66.636129	4.124	EXT_SEM
70.7599	2.238	INT_ACT
72.998161	1.977	INT_PLACE
74.975401	2.215	INT_PERC
77.190869	4.753	INT_ACT
81.943982	0.479	INT_OBJ
82.422893	2.211	EXT_REP
84.634176	1.212	INT_PERSON
85.84653	1.459	EXT_SEM
87.306017	0.499	INT_ACT
87.804948	2.279	EXT_EPI
90.083717	3.725	INT_ACT
93.80906	2.55	INT_PERC
96.359412	2.144	INT_OBJ
98.503006	1.982	INT_PERC
100.485222	0.708	INT_PERSON
101.193612	0.861	INT_ACT
102.054288	0.696	INT_PERSON
102.750349	0.838	INT_ACT
103.588444	3.099	EXT_REP
106.68787	1.013	INT_ACT
107.70086	1.546	INT_PLACE
109.247346	11.216	EXT_EPI
120.463364	2.836	INT_OTHER
123.299403	0.968	INT_ACT
124.267204	2.555	INT_PERC
126.821936	2.037	INT_ACT
128.859251	1.776	EXT_EPI
130.635215	5.279	EXT_REP
154	11	stimPicChoice
165	5	stimCuePic
170	118.2	AB_today
171.730472	8.024	EXT_OTHER
179.754638	1.343	EXT_SEM
181.097554	1.326	INT_OTHER
182.423632	0.723	INT_TIME
183.146381	1.651	INT_PLACE
184.797048	3.213	INT_ACT
188.010115	4.335	INT_PLACE
192.345456	3.121	EXT_SEM
195.466586	3.154	INT_ACT
198.620959	1.909	INT_OBJ
200.530454	2.148	INT_ACT
202.678275	0.546	INT_OTHER
203.223835	22.057	EXT_SEM
225.280628	4.978	EXT_EPI
230.259118	2.948	EXT_SEM
233.207518	1.458	EXT_EPI
234.665558	5.906	EXT_REP
240.571759	11.187	INT_ACT
251.758674	36.341	EXT_SEM
308	11	stimPicChoice
319	5	stimCuePic
324	118.2	AB_5yr
325.683772	2.703	EXT_OTHER
328.386462	22.678	EXT_SEM
351.064335	2.952	EXT_EPI
354.015951	2.884	INT_PLACE
356.900349	0.457	INT_OTHER
357.357313	1.326	INT_PERC
358.682948	15.528	EXT_SEM
374.211115	1.003	INT_ACT
375.213954	5.516	INT_PLACE
380.72971	4.595	INT_PERSON
385.325083	1.689	INT_ACT
387.013783	5.276	INT_OBJ
392.290136	12.941	EXT_SEM
405.230794	10.524	EXT_EPI
415.755201	23.868	EXT_SEM
439.623427	4.099	EXT_EPI
