onset	duration	condition_type
0	11	stimPicChoice
11	5	stimCuePic
16	118.2	AB_6mo
18.187772	6.572	EXT_OTHER
24.759864	5.208	INT_TIME
29.96763	9.344	INT_PLACE
39.311156	3.875	INT_ACT
43.186208	11.222	INT_OTHER
54.407781	3.22	INT_EMO
57.628128	2.354	INT_ACT
59.982256	4.867	INT_PLACE
64.849259	4.769	INT_PERC
69.618441	3.294	EXT_REP
72.912323	1.026	INT_PERC
73.938631	1.367	INT_OBJ
75.305525	0.768	INT_PERSON
76.073779	1.953	INT_ACT
78.026406	3.818	INT_OTHER
81.844602	2.522	EXT_REP
84.366758	2.073	INT_ACT
86.439319	7.946	INT_PLACE
94.384823	0.948	INT_PERC
95.332669	5.145	INT_PLACE
100.47734	7.456	INT_PERC
107.933687	1.636	INT_PLACE
109.569968	1.688	INT_PERC
111.258225	0.918	INT_PLACE
112.176139	7.34	INT_PERC
119.515785	1.876	INT_OBJ
121.391497	1.334	INT_PERC
122.725288	4.514	INT_OTHER
127.239146	0.579	INT_OBJ
127.81783	1.008	INT_PERC
128.82554	2.292	INT_OTHER
131.117556	1.706	INT_PERC
154	11	stimPicChoice
165	5	stimCuePic
170	118.2	AB_today
172.253272	2.81	INT_TIME
175.063713	0.369	INT_ACT
175.432874	1.586	INT_OTHER
177.019268	1.147	INT_ACT
178.166661	3.169	INT_PERSON
181.335495	0.938	EXT_OTHER
182.273364	1.776	INT_PERSON
184.049327	0.419	INT_PLACE
184.468375	3.562	INT_ACT
188.030375	7.77	INT_OBJ
195.800379	2.954	INT_ACT
198.753912	0.718	INT_OBJ
199.47228	2.901	INT_OTHER
202.37344	2.848	INT_OBJ
205.221847	0.907	INT_PERC
206.128797	0.988	INT_OBJ
207.116553	6.243	INT_ACT
213.359162	1.975	INT_OBJ
215.333885	16.99	EXT_SEM
232.324019	3.939	EXT_REP
236.262874	6.693	INT_ACT
242.956273	4.315	INT_OBJ
247.271298	4.328	INT_ACT
251.599397	2.595	INT_OBJ
254.193911	21.111	EXT_SEM
275.304971	1.277	INT_ACT
276.582069	2.567	INT_OBJ
279.149398	3.424	EXT_SEM
282.573546	4.43	EXT_REP
308	11	stimPicChoice
319	5	stimCuePic
324	118.2	AB_5yr
327.280572	6.664	INT_TIME
333.944122	9.835	INT_PLACE
343.778868	2.42	INT_EMO
346.198793	0.977	INT_PERSON
347.176224	1.869	INT_ACT
349.045418	0.938	INT_OBJ
349.983286	5.831	INT_OTHER
355.814316	5.362	EXT_REP
361.176466	2.528	INT_PERC
363.704033	4.159	INT_OBJ
367.862885	2.885	EXT_REP
370.74838	0.798	INT_OTHER
371.546566	2.804	INT_PERC
374.350442	0.888	INT_PLACE
375.238424	1.681	INT_PERC
376.919144	2.9	INT_OBJ
379.819454	0.589	INT_PERC
380.408116	3.154	INT_ACT
383.562554	1.878	INT_PERC
385.440496	1.908	INT_ACT
387.348678	2.34	EXT_SEM
389.688411	6.787	INT_PERC
396.475241	4.076	INT_ACT
400.550999	3.247	INT_EMO
403.797711	4.325	INT_ACT
408.122531	4.964	INT_PERC
413.086472	1.866	INT_EMO
414.952232	2.853	INT_OTHER
417.805133	1.896	INT_OBJ
419.700824	2.891	INT_PERSON
422.592146	2.106	INT_ACT
424.697957	5.435	EXT_SEM
430.132845	5.665	INT_EMO
435.798218	4.59	INT_PERC
