onset	duration	condition_type
0	11	stimPicChoice
11	5	stimCuePic
16	118.2	AB_6mo
18.932223	1.086	INT_TIME
20.018481	8.052	EXT_SEM
28.070181	2.713	INT_PERC
30.783648	0.767	INT_OTHER
31.551061	0.851	EXT_REP
32.401614	2.204	INT_OTHER
34.605329	2.824	INT_PERC
37.429613	0.484	INT_OBJ
37.913417	0.813	INT_ACT
38.725964	0.718	INT_PERSON
39.444331	2.295	INT_OTHER
41.739116	0.409	INT_ACT
42.148186	1.927	INT_OBJ
44.075537	6.942	EXT_REP
51.018027	4.104	EXT_EPI
55.121649	1.421	INT_PERSON
56.543032	1.246	INT_OTHER
57.78866	3.815	INT_ACT
61.603968	6.555	INT_OBJ
68.15907	3.452	INT_ACT
71.611224	1.866	INT_PLACE
73.476984	1.745	INT_PERC
75.222297	0.297	INT_PERSON
75.519252	4.084	INT_ACT
79.603061	2.564	INT_PERC
82.167234	2.355	INT_OTHER
84.521882	2.255	INT_PERC
86.776757	5.145	INT_ACT
91.921628	4.369	INT_PERSON
96.29108	4.874	EXT_SEM
101.164665	0.866	EXT_OTHER
102.031039	1.481	INT_PERC
103.51248	2.658	INT_OTHER
106.170288	2.517	INT_PERSON
108.686961	2.424	EXT_SEM
111.111451	1.247	INT_ACT
112.358617	7.863	EXT_EPI
120.22181	2.531	EXT_SEM
122.753055	6.876	INT_PERSON
129.629365	0.269	INT_ACT
129.898753	2.204	INT_OTHER
154	11	stimPicChoice
165	5	stimCuePic
170	118.2	AB_today
171.79977	1.715	INT_TIME
173.515092	2.174	INT_PERSON
175.689256	1.342	INT_ACT
177.031525	1.272	EXT_SEM
178.303453	2.623	INT_ACT
180.926118	0.527	INT_PERC
181.453298	1.547	INT_ACT
183.000464	3.158	EXT_EPI
186.158392	1.946	EXT_SEM
188.10397	4.89	INT_PERC
192.994203	0.504	INT_OBJ
193.497926	0.464	INT_PERC
193.96171	1.128	INT_OBJ
195.089441	0.938	INT_PERC
196.027431	0.389	INT_OBJ
196.416546	3.754	INT_ACT
200.170208	1.443	INT_PERSON
201.613168	1.32	INT_ACT
202.93267	1.028	EXT_EPI
203.960335	1.03	EXT_SEM
204.990163	6.527	INT_ACT
211.516865	1.227	EXT_REP
212.744076	1.387	INT_OTHER
214.130924	1.799	EXT_REP
215.930036	1.257	INT_OTHER
217.187178	3.381	INT_ACT
220.568219	7.904	EXT_SEM
228.472539	10.097	EXT_REP
238.569284	22.766	EXT_SEM
261.334939	2.734	INT_EMO
264.068481	1.259	EXT_REP
265.327294	1.682	INT_OBJ
267.008879	0.676	INT_OTHER
267.684694	5.483	INT_PERC
273.168052	0.733	INT_ACT
273.900684	0.688	INT_PERC
274.58912	0.659	EXT_REP
275.247623	0.998	INT_ACT
276.245355	0.908	INT_OBJ
277.153292	1.477	EXT_REP
278.630313	8.019	INT_EMO
308	11	stimPicChoice
319	5	stimCuePic
324	118.2	AB_5yr
326.199116	1.834	INT_PERC
328.033295	4.914	INT_TIME
332.947106	0.309	INT_PERSON
333.256403	1.015	INT_ACT
334.271743	0.639	INT_PLACE
334.910292	1.117	INT_OTHER
336.027752	4.011	INT_PERSON
340.039115	0.569	INT_ACT
340.607822	1.638	EXT_REP
342.245738	1.642	EXT_SEM
343.887924	7.418	INT_PERSON
351.305578	1.16	INT_ACT
352.465255	1.778	EXT_REP
354.243652	4.486	INT_PERC
358.729848	2.017	INT_OBJ
360.746465	3.804	EXT_REP
364.550398	0.429	INT_ACT
364.979423	1.865	INT_OBJ
366.844242	1.277	INT_ACT
368.12134	0.981	INT_OBJ
369.102172	1.579	INT_PERC
370.681465	0.267	EXT_REP
370.948457	0.91	INT_PLACE
371.858789	1.457	INT_ACT
373.315478	0.688	INT_OBJ
374.003914	1.879	INT_PERC
375.88275	0.651	INT_PLACE
376.533383	1.914	INT_PERC
378.447221	3.298	EXT_REP
381.745026	1.436	INT_PLACE
383.181099	1.464	INT_ACT
384.644695	2.06	EXT_REP
386.704475	0.489	INT_OBJ
387.193364	4.046	EXT_REP
391.239643	1.147	INT_ACT
392.387083	3.954	INT_PERC
396.341528	0.988	INT_OBJ
397.329283	0.708	INT_PLACE
398.037673	2.067	INT_PERC
400.105019	1.275	INT_OBJ
401.379592	2.122	INT_PERC
403.50171	0.878	EXT_REP
404.379714	5.007	INT_PLACE
409.386912	6.357	EXT_REP
415.743734	1.995	INT_ACT
417.738501	1.841	INT_PERC
419.579367	0.619	INT_PLACE
420.197961	1.467	EXT_REP
421.664628	0.409	INT_ACT
422.073698	0.963	INT_PERC
423.036987	1.989	INT_ACT
425.025981	4.186	EXT_REP
429.212461	4.511	INT_TIME
433.723917	2.774	EXT_REP
436.497933	1.127	INT_OTHER
437.62537	2.335	EXT_REP
