onset	duration	condition_type
0	11	stimPicChoice
11	5	stimCuePic
16	118.2	AB_5yr
17.707772	5.686	INT_TIME
23.394212	8.844	INT_OTHER
32.237865	9.509	EXT_SEM
41.747052	2.496	INT_OBJ
44.243524	1.378	INT_PERC
45.621525	0.454	EXT_REP
46.075871	0.858	INT_OBJ
46.93392	4.188	EXT_SEM
51.121502	9.954	INT_OBJ
61.075471	1.307	INT_PERSON
62.3825	3.665	INT_OTHER
66.047382	0.429	EXT_REP
66.476407	1.467	INT_PLACE
67.943074	2.921	EXT_REP
70.864332	1.587	INT_ACT
72.451684	6.504	INT_OBJ
78.956091	3.166	INT_ACT
82.122108	6.676	EXT_REP
88.797987	6.844	INT_PERSON
95.642096	1.508	EXT_REP
97.15052	5.013	EXT_SEM
102.163163	3.083	EXT_OTHER
109.855096	0.81	INT_PERC
110.664777	0.379	INT_PERSON
111.043916	1.018	INT_ACT
112.061603	1.663	INT_PERSON
113.724635	0.982	INT_ACT
114.70713	3.907	INT_OBJ
118.614217	0.287	EXT_OTHER
128.834364	1.647	INT_OBJ
130.48123	0.356	EXT_REP
130.837381	1.097	INT_PERC
131.934487	0.579	EXT_REP
132.513172	0.261	INT_PERC
154	11	stimPicChoice
165	5	stimCuePic
170	118.2	AB_6mo
173.494342	4.609	INT_TIME
178.103184	6.382	INT_PERSON
184.485116	0.788	EXT_SEM
185.273325	1.397	INT_ACT
186.67015	5.414	EXT_OTHER
192.08457	1.016	INT_PLACE
193.100573	1.797	EXT_REP
194.897492	1.876	INT_PLACE
196.773229	1.982	INT_ACT
198.754804	0.289	INT_OBJ
199.044146	1.177	EXT_REP
200.22124	1.584	INT_ACT
201.805664	2.778	INT_OBJ
204.583799	1.051	INT_PERC
205.634721	0.379	INT_OBJ
206.013859	0.971	INT_OTHER
206.98444	4.094	INT_OBJ
211.078449	2.556	INT_PERC
213.634161	1.236	EXT_REP
214.870363	1.104	INT_TIME
215.974739	1.252	EXT_REP
217.227038	2.404	INT_ACT
219.631503	1.251	EXT_REP
220.882057	3.015	INT_PLACE
223.897302	1.461	EXT_OTHER
225.358611	2.346	INT_TIME
227.704785	1.933	EXT_REP
229.637627	1.548	INT_PLACE
231.18591	1.267	INT_OTHER
232.45303	4.194	EXT_SEM
236.646546	4.712	INT_ACT
241.358513	3.526	INT_PLACE
244.884894	2.707	INT_PERC
247.592383	2.752	INT_OBJ
250.344619	2.318	INT_ACT
252.662753	2.216	INT_PERC
254.878938	3.504	INT_OBJ
258.382461	0.848	EXT_OTHER
259.230533	1.583	EXT_REP
260.813221	0.706	INT_ACT
261.519528	1.019	INT_PLACE
262.538614	0.857	INT_OTHER
263.395265	3.17	INT_ACT
266.56552	2.543	INT_OTHER
269.108321	0.409	INT_PERC
269.517391	0.988	INT_ACT
270.505146	1.497	EXT_REP
272.001745	2.646	INT_PLACE
274.647931	1.67	EXT_SEM
276.317945	4.989	EXT_REP
281.306748	2.72	INT_ACT
284.026517	2.65	INT_OBJ
308	11	stimPicChoice
319	5	stimCuePic
324	118.2	AB_today
326.039306	1.098	INT_TIME
327.136812	2.469	INT_ACT
329.605693	1.247	EXT_SEM
330.852859	0.659	EXT_REP
331.511362	0.579	INT_TIME
332.090047	0.777	INT_PERSON
332.866627	0.788	INT_ACT
333.654835	2.787	INT_PERSON
336.441523	2.348	EXT_REP
338.789514	0.778	EXT_SEM
339.567746	0.778	EXT_REP
340.345977	0.758	INT_ACT
341.104253	5.791	INT_OBJ
346.895326	2.564	EXT_OTHER
349.458853	1.207	INT_OBJ
350.666109	3.16	EXT_SEM
353.825611	0.904	INT_ACT
354.729613	1.726	EXT_EPI
356.45569	0.549	EXT_REP
357.004443	1.665	EXT_EPI
358.66967	0.958	EXT_REP
359.627493	1.046	EXT_EPI
360.673584	1.815	EXT_SEM
362.488683	3.079	EXT_EPI
365.567739	3.16	INT_PLACE
368.727449	2.29	EXT_REP
371.017903	0.958	INT_PERSON
371.975726	0.529	INT_ACT
372.504524	0.279	INT_OBJ
372.783889	1.987	EXT_OTHER
374.770742	1.517	INT_ACT
376.287295	1.339	EXT_REP
377.626285	4.206	INT_ACT
381.831855	0.22	INT_OBJ
382.051357	3.192	INT_EMO
385.243555	2.245	EXT_REP
387.488384	0.858	INT_EMO
388.346434	1.886	INT_OBJ
390.232148	2.515	EXT_SEM
392.747607	6.853	INT_OBJ
399.600544	1.188	EXT_SEM
400.788534	5.137	INT_PERC
405.926014	3.72	INT_EMO
409.645967	2.363	INT_ACT
412.009167	1.259	EXT_REP
413.268543	2.643	INT_EMO
415.912027	1.187	EXT_REP
417.099329	2.564	INT_PERC
419.663573	6.827	INT_OBJ
426.490989	6.209	INT_ACT
432.700179	1.583	EXT_REP
434.283167	1.583	EXT_EPI
435.865802	1.431	INT_EMO
437.296319	0.831	INT_ACT
438.127789	0.279	EXT_REP
438.407154	2.274	EXT_EPI
