onset	duration	condition_type
0	11	stimPicChoice
11	5	stimCuePic
16	118.2	AB_today
18.044872	6.044	EXT_SEM
24.089105	0.439	INT_TIME
24.528107	3.163	EXT_EPI
27.690919	2.646	INT_ACT
30.336749	4.384	INT_PLACE
34.720699	3.124	INT_OTHER
37.84486	0.977	INT_PERC
38.822094	0.769	INT_OBJ
39.590892	0.933	INT_ACT
40.524052	1.067	EXT_EPI
41.591173	1.958	INT_OBJ
43.549591	1.32	INT_PERC
44.869192	1.053	INT_ACT
45.921802	4.443	INT_OBJ
50.365295	1.49	EXT_SEM
51.855744	0.649	INT_ACT
52.50427	8.179	INT_OBJ
60.683174	0.609	INT_PERC
61.291791	0.484	INT_OBJ
61.77555	0.895	INT_PERSON
62.670777	0.616	INT_OBJ
63.286938	11.161	INT_PERC
154	11	stimPicChoice
165	5	stimCuePic
170	118.2	AB_6mo
177.572406	4.187	EXT_EPI
181.75969	3.226	INT_PLACE
184.98577	0.701	INT_ACT
185.686713	3.708	INT_OBJ
189.394597	2.323	INT_EMO
191.717501	3.4	INT_ACT
195.117824	3.298	INT_PERC
198.416163	1.408	INT_PERSON
199.824358	0.353	INT_ACT
200.17769	2.197	INT_OBJ
202.374965	14.173	EXT_SEM
216.548018	4.427	INT_OBJ
220.975267	1.503	INT_ACT
222.477953	1.197	INT_OBJ
223.675232	2.654	INT_ACT
226.329479	0.629	INT_OBJ
226.95805	2.393	INT_ACT
229.350686	1.039	INT_OBJ
230.389636	0.822	INT_ACT
251.415614	3.659	INT_PERC
255.074284	1.431	INT_TIME
308	11	stimPicChoice
319	5	stimCuePic
324	118.2	AB_5yr
330.924472	2.076	EXT_OTHER
333.000219	7.125	EXT_SEM
340.124823	4.346	INT_PERSON
344.470744	6.542	INT_PLACE
351.012805	3.456	INT_EMO
354.469079	2.422	INT_PERC
356.890641	1.232	INT_OBJ
358.122887	2.066	INT_PERC
360.188551	7.272	INT_ACT
367.460705	3.45	INT_PERC
370.910475	1.979	INT_OTHER
372.889669	2.807	INT_PERC
375.696734	6.779	INT_ACT
382.476176	1.332	INT_OTHER
383.80789	1.098	INT_PERSON
384.905396	1.498	INT_PERC
386.403287	1.874	INT_OBJ
388.277038	3.48	INT_EMO
391.756837	4.508	EXT_SEM
396.264862	0.429	INT_ACT
396.693887	0.788	INT_OTHER
397.482096	3.685	INT_ACT
401.166773	2.934	INT_OTHER
404.101241	1.31	INT_ACT
405.411516	4.158	INT_OBJ
409.569432	3.401	EXT_SEM
412.970434	3.761	EXT_REP
416.73114	1.422	INT_PERSON
418.153324	6.403	INT_ACT
424.556168	2.732	INT_PLACE
427.288167	1.082	INT_ACT
428.369858	0.983	INT_OBJ
429.352564	1.807	INT_ACT
431.159687	0.487	INT_PERC
431.646711	1.343	INT_PERSON
432.989626	1.353	INT_ACT
434.342402	3.175	EXT_REP
437.517306	1.067	INT_ACT
438.584054	1.793	EXT_REP
440.376903	0.753	INT_ACT
