onset	duration	condition_type
0	11	stimPicChoice
11	5	stimCuePic
16	118.2	PD
18.543827	3.051	INT_PERSON
21.595215	1.87	INT_PERC
23.465072	0.239	INT_PERSON
23.704527	3.081	EXT_REP
26.785278	0.542	INT_ACT
27.327215	1.262	INT_OTHER
28.589697	1.569	INT_PERC
30.15834	1.865	INT_PLACE
32.023337	0.958	INT_PERSON
32.98116	0.858	INT_PERC
33.83889	0.44	INT_OBJ
34.279318	2.052	INT_PERC
36.331314	1.731	INT_PERSON
38.062672	1.372	INT_PERC
39.434685	1.819	INT_OTHER
41.253423	2.359	INT_PERC
43.612544	4.871	EXT_REP
48.483685	4.196	INT_ACT
52.679677	1.722	INT_PERC
54.401352	5.946	INT_PLACE
60.34757	2.916	INT_OBJ
63.264066	2.039	EXT_OTHER
65.303098	2.102	INT_PLACE
67.405143	2.022	INT_PERC
69.42711	3.247	EXT_REP
72.673762	1.738	INT_PERC
74.411836	3.003	INT_OBJ
77.414546	5.292	INT_PERC
82.706302	2.486	EXT_REP
85.192052	9.135	INT_PERC
94.327261	2.724	INT_OBJ
97.051124	5.122	EXT_REP
102.173371	1.481	INT_ACT
103.654812	1.842	EXT_SEM
105.496601	1.114	EXT_REP
106.611019	1.884	EXT_EPI
108.494814	3.955	INT_PERSON
112.44959	1.395	INT_PLACE
113.84428	1.842	INT_PERC
115.686071	2.302	INT_OTHER
117.988311	1.355	INT_PERSON
119.342849	3.063	INT_OTHER
122.405829	2.217	INT_PERC
124.622955	0.988	INT_OTHER
125.610582	3.492	INT_PERSON
129.102222	4.653	INT_PERC
154	11	stimPicChoice
165	5	stimCuePic
170	118.2	PD
172.113436	3.125	INT_PERC
175.238056	1.622	INT_OBJ
176.860159	1.451	INT_PERSON
178.311571	3.442	INT_PERC
181.754016	0.556	INT_OBJ
182.31037	5.878	INT_PERC
188.188682	0.985	EXT_REP
189.173498	8.61	INT_PERC
197.783925	0.723	INT_OBJ
198.506746	1.915	INT_PERC
200.421942	1.615	EXT_OTHER
202.037216	0.986	EXT_REP
203.022994	3.789	INT_OTHER
206.811605	3.698	INT_PERC
210.509274	2.751	EXT_REP
213.260541	9.08	INT_PERC
222.340661	1.137	INT_PERSON
223.478076	1.277	INT_PERC
224.755173	1.83	INT_PERSON
226.585386	1.898	INT_OBJ
228.483307	3.767	INT_ACT
232.250797	1.641	INT_PERSON
233.892032	4.242	INT_PERC
238.134434	0.761	INT_OBJ
238.895174	1.318	INT_PERC
240.21332	1.61	INT_OBJ
241.823424	4.777	INT_PERSON
246.600279	2.746	INT_ACT
249.346533	6.278	EXT_SEM
255.624861	6.725	INT_PERSON
262.349578	1.034	INT_ACT
263.383918	2.894	EXT_SEM
266.277809	0.831	EXT_REP
267.108542	5.176	INT_ACT
272.284158	0.89	INT_PERC
273.174151	1.868	INT_OTHER
275.042635	6.603	INT_PERC
281.64539	4.091	EXT_REP
285.736814	1.455	EXT_OTHER
308	11	stimPicChoice
319	5	stimCuePic
324	118.2	PD
325.707072	3.499	INT_PERSON
329.206417	2.449	INT_PLACE
331.655085	6.361	INT_OBJ
338.015893	2.809	INT_PERC
340.824633	2.831	EXT_OTHER
343.656126	5.577	INT_PERC
349.233247	0.589	INT_OBJ
349.821909	1.639	INT_PERC
351.46133	4.265	EXT_OTHER
355.726063	3.377	INT_PERSON
359.102913	0.249	INT_ACT
359.352346	5.645	INT_OBJ
364.997377	1.87	INT_PERC
366.867843	1.755	EXT_REP
368.622542	1.612	INT_PERC
370.234751	2.244	INT_OBJ
372.478579	5.257	INT_PERC
377.736058	1.969	INT_PERSON
379.705037	0.688	INT_PERC
380.393472	0.299	INT_OBJ
380.692792	4.324	INT_OTHER
385.016723	2.037	INT_ACT
387.053942	0.988	INT_PERC
388.041697	0.409	INT_PERSON
388.450767	4.236	INT_PERC
392.686585	2.416	EXT_REP
395.102172	1.441	INT_PERC
396.543585	1.279	INT_PERSON
397.823005	5.445	INT_OBJ
403.26755	2.848	INT_PERC
406.11552	3.18	INT_OBJ
409.295268	9.471	INT_PERC
418.765925	3.823	EXT_SEM
422.588755	2.956	EXT_REP
425.544314	13.864	INT_PERC
