onset	duration	condition_type
0	11	stimPicChoice
11	5	stimCuePic
16	118.2	AB_today
17.090432	3.471	EXT_OTHER
20.561859	1.613	INT_ACT
22.174388	0.898	INT_OBJ
23.072347	2.275	INT_PERC
25.347177	3.728	INT_OTHER
29.074956	1.483	INT_ACT
30.557888	2.385	INT_OTHER
32.942469	5.439	INT_ACT
38.381895	3.636	INT_PERSON
42.017425	1.217	INT_OBJ
43.234658	1.743	INT_ACT
44.977492	1.719	INT_OBJ
46.696153	8.637	INT_OTHER
55.332854	2.778	INT_ACT
58.110663	8.467	INT_OTHER
66.577299	1.94	INT_PERSON
68.516875	3.591	INT_PERC
72.10811	1.095	INT_ACT
73.2031	5.814	INT_PERC
79.017013	1.397	INT_ACT
80.413838	1.267	EXT_REP
81.680958	4.121	INT_ACT
85.801593	0.738	EXT_REP
86.539915	0.928	INT_ACT
87.467806	1.853	INT_PERC
89.321287	3.694	INT_EMO
93.015198	5.124	INT_ACT
98.138698	0.587	EXT_REP
98.725936	3.897	INT_ACT
102.623362	2.591	INT_OBJ
105.214683	4.324	INT_ACT
109.538574	1.884	INT_OBJ
111.422332	4.137	INT_ACT
115.55969	1.277	INT_OBJ
116.836604	3.071	INT_ACT
119.907199	2.188	INT_PLACE
122.095428	2.012	INT_ACT
124.107652	3.543	INT_PERC
127.650651	1.147	INT_ACT
128.798043	2.795	INT_PLACE
131.592633	4.359	EXT_OTHER
154	11	stimPicChoice
165	5	stimCuePic
170	118.2	AB_6mo
171.886523	6.852	INT_OTHER
178.738641	5.111	INT_PLACE
183.849778	2.524	INT_ACT
186.373371	0.828	INT_OBJ
187.201488	3.233	INT_OTHER
190.434141	2.901	INT_ACT
193.335295	2.412	INT_TIME
195.747608	3.342	INT_ACT
199.090012	0.798	INT_TIME
199.888198	3.25	INT_ACT
203.138461	1.765	EXT_REP
204.90309	1.988	INT_OTHER
206.891191	6.052	INT_ACT
212.943005	5.816	INT_OBJ
218.758523	2.066	INT_ACT
220.824335	2.389	INT_TIME
223.213453	1.149	INT_ACT
224.362226	4.824	INT_OBJ
229.186312	0.958	INT_ACT
230.144135	1.347	EXT_REP
231.491074	2.484	INT_ACT
233.975428	1.646	INT_PERC
235.621686	1.986	INT_TIME
237.608117	2.744	INT_ACT
240.351881	0.808	INT_OTHER
241.160044	2.406	INT_TIME
243.566155	1.826	INT_ACT
245.392005	8.526	INT_PERC
253.918333	2.365	INT_OBJ
256.282959	3.641	INT_ACT
259.923549	1.127	EXT_REP
261.050987	0.758	INT_PERC
261.809263	0.499	INT_ACT
262.308129	2.149	EXT_REP
264.457275	5.476	INT_ACT
269.932811	4.101	INT_PLACE
274.033491	2.507	INT_OBJ
276.540284	1.203	INT_ACT
277.743189	1.487	INT_PERC
279.22981	0.998	EXT_REP
280.227542	5.578	INT_PERC
285.805456	0.413	EXT_REP
286.218835	0.858	INT_PERC
308	11	stimPicChoice
319	5	stimCuePic
324	118.2	AB_5yr
325.139851	5.304	INT_ACT
330.444014	5.109	INT_OTHER
335.552594	2.876	EXT_OTHER
338.42833	8.566	INT_OTHER
346.994306	0.688	INT_PERSON
347.682741	0.539	INT_TIME
348.221517	3.241	INT_ACT
351.462468	0.767	INT_TIME
352.229881	1.608	INT_ACT
353.838112	3.503	INT_EMO
357.340791	2.045	INT_PLACE
359.386143	4.696	INT_TIME
364.081874	2.434	INT_PERSON
366.516341	0.569	INT_ACT
367.085048	0.619	INT_OBJ
367.703642	2.668	INT_OTHER
370.371932	3.327	INT_ACT
373.69892	4.639	INT_OTHER
378.337768	4.911	INT_ACT
383.248314	2.395	INT_PERSON
385.642871	5.537	INT_ACT
391.180286	1.197	INT_PERSON
392.377565	6.116	INT_ACT
398.493665	0.998	INT_PLACE
399.491397	3.063	EXT_SEM
402.554436	1.317	INT_ACT
403.871443	1.756	INT_PLACE
405.627452	2.444	EXT_SEM
408.071896	2.614	INT_ACT
410.685955	2.415	INT_PERSON
413.100468	3.592	INT_ACT
416.692304	0.918	INT_PERC
417.610218	2.882	INT_EMO
420.492007	4.606	INT_ACT
425.097858	1.886	INT_PERSON
426.983572	0.728	INT_ACT
427.711917	1.916	INT_OBJ
429.627563	2.983	INT_TIME
432.610783	1.806	EXT_REP
434.416678	1.107	INT_ACT
435.524161	1.766	INT_PERSON
437.290148	0.848	EXT_REP
438.13822	1.846	INT_OTHER
439.984025	1.038	INT_ACT
