onset	duration	condition_type
0	11	stimPicChoice
11	5	stimCuePic
16	118.2	PD
19.075011	2.444	INT_PERC
21.519456	1.786	INT_PERSON
23.305397	1.736	INT_PERC
25.041451	1.915	INT_OBJ
26.956419	4.89	EXT_REP
31.84628	3.82	INT_OTHER
35.666265	1.278	INT_PERC
36.943814	1.427	INT_OBJ
38.370572	2.587	INT_OTHER
40.957627	2.006	EXT_OTHER
42.963986	2.015	INT_PERC
44.978489	2.365	INT_PLACE
47.343115	4.919	INT_PERC
52.261936	5.757	INT_PLACE
58.018852	5.727	INT_PERC
63.745836	1.468	INT_OBJ
65.214104	4.33	EXT_REP
69.544263	0.379	INT_ACT
69.923401	0.768	INT_PLACE
70.691655	2.315	INT_ACT
73.006395	1.237	EXT_OTHER
74.243583	2.365	INT_OTHER
76.608209	1.075	INT_PERC
77.683085	1.836	INT_PERSON
79.518913	0.708	INT_OBJ
80.227303	0.961	EXT_OTHER
81.188597	6.074	EXT_REP
87.262224	2.852	INT_PERC
90.114464	16.613	EXT_REP
154	11	stimPicChoice
165	5	stimCuePic
170	118.2	PD
172.078934	2.285	INT_PERC
174.363741	1.247	INT_OBJ
175.610907	2.63	INT_PLACE
178.240572	9.099	INT_PERC
187.339653	3.896	EXT_REP
191.235397	6.505	INT_PERC
197.740612	0.629	INT_PERSON
198.369184	2.185	INT_OBJ
200.554218	4.779	EXT_SEM
205.333356	4.43	INT_PERC
209.763288	0.649	INT_PLACE
210.411814	9.459	INT_PERC
219.870317	4.59	EXT_REP
224.459887	1.756	INT_PLACE
226.215896	3.442	INT_ACT
229.658072	7.872	INT_PERC
237.530181	1.706	INT_PLACE
239.236304	1.586	INT_PERC
240.822698	5.468	INT_OBJ
246.290272	1.147	INT_PERC
247.437664	2.375	EXT_OTHER
249.812267	7.471	INT_PERC
257.283501	2.752	INT_OBJ
260.035945	0.688	INT_PERC
260.724147	2.055	EXT_OTHER
262.779476	7.842	EXT_REP
270.621653	8.97	INT_PERC
279.591267	2.335	INT_ACT
281.925961	4.442	EXT_REP
308	11	stimPicChoice
319	5	stimCuePic
324	118.2	PD
324.19397	6.895	INT_PERC
331.088531	0.629	INT_PERSON
331.717103	2.639	INT_PLACE
334.356424	1.518	EXT_OTHER
335.874474	7.182	INT_PERC
343.056616	0.429	INT_PERSON
343.485641	7.751	INT_PERC
351.23617	5.41	INT_ACT
356.645907	6.362	EXT_OTHER
363.007717	2.614	EXT_REP
365.621776	1.629	EXT_OTHER
367.250777	2.641	EXT_REP
369.89207	7.456	EXT_SEM
377.347949	4.072	EXT_REP
381.419637	6.311	INT_PERC
387.730453	4.758	EXT_SEM
392.488271	1.447	EXT_OTHER
393.934983	0.351	INT_PERC
394.285483	0.49	EXT_EPI
394.775197	5.964	INT_PERC
400.739383	1.427	INT_OBJ
402.16614	3.702	INT_PERC
405.867727	0.948	INT_OBJ
406.815573	2.025	INT_PERC
408.84097	3.199	INT_PLACE
412.040029	1.539	INT_OBJ
413.579097	5.388	EXT_SEM
418.966852	4.111	INT_PERC
423.077509	6.055	EXT_REP
429.13221	1.566	INT_OBJ
430.69865	4.62	EXT_OTHER
435.318199	7.31	EXT_REP
