onset	duration	condition_type
0	11	stimPicChoice
11	5	stimCuePic
16	118.2	AB_6mo
18.167096	8.061	EXT_OTHER
26.228422	2.588	INT_OTHER
28.816438	6.577	INT_TIME
35.393106	3.534	INT_EMO
38.927402	1.659	INT_PERSON
40.586431	1.79	INT_TIME
42.376195	0.69	INT_ACT
43.066477	1.818	EXT_OTHER
44.884086	0.839	EXT_EPI
45.722936	4.555	INT_PLACE
50.278144	2.854	EXT_OTHER
53.132227	1.639	INT_OTHER
54.771036	0.672	INT_PERC
55.443532	7.249	INT_OBJ
62.69212	1.434	INT_PERC
64.126477	2.383	INT_ACT
66.509048	11.051	INT_PLACE
77.560536	0.917	EXT_SEM
78.477312	0.998	EXT_REP
79.475044	3.968	INT_PLACE
83.442658	6.905	INT_ACT
90.347981	1.387	EXT_OTHER
91.734829	3.04	INT_PERC
94.774698	3.654	EXT_REP
98.428421	5.796	INT_ACT
104.224191	0.708	INT_PERSON
104.932581	0.319	INT_PERC
105.251855	1.337	INT_OBJ
106.588555	1.534	INT_ACT
108.122161	3.683	EXT_EPI
111.805489	8.547	INT_PLACE
120.3522	3.648	EXT_REP
124.000025	5.31	INT_EMO
129.310239	1.965	INT_PERSON
131.27549	1.514	INT_OTHER
154	11	stimPicChoice
165	5	stimCuePic
170	118.2	AB_5yr
171.978616	10.317	EXT_OTHER
182.295141	92.105	EXT_SEM
274.399906	2.23	EXT_REP
276.629708	9.182	EXT_SEM
308	11	stimPicChoice
319	5	stimCuePic
324	118.2	AB_today
325.715172	4.651	EXT_SEM
330.366632	5.66	EXT_OTHER
336.026609	1.987	INT_TIME
338.013614	1.866	INT_ACT
339.879237	6.908	EXT_SEM
346.786802	4.632	INT_ACT
351.418996	4.306	EXT_SEM
355.724714	0.853	INT_ACT
356.577662	1.45	INT_PERSON
358.027723	2.203	INT_OTHER
360.230671	2.891	INT_ACT
363.121912	3.36	EXT_OTHER
366.481724	3.314	EXT_EPI
369.796027	2.985	INT_ACT
372.780565	6.296	EXT_EPI
379.076717	16.358	EXT_SEM
395.434697	13.102	EXT_OTHER
408.536338	4.731	INT_EMO
413.266904	4.245	EXT_EPI
417.512246	4.207	INT_EMO
421.719037	6.01	EXT_SEM
427.728775	5.289	INT_EMO
433.018264	6.787	EXT_OTHER
