onset	duration	condition_type
0	11	stimPicChoice
11	5	stimCuePic
16	118.2	AB_5yr
18.217772	6.337	EXT_SEM
24.555161	0.82	EXT_EPI
25.375215	3.332	EXT_SEM
28.707549	4.856	INT_TIME
33.56328	1.417	INT_PERSON
34.980079	3.488	INT_ACT
38.468538	1.406	INT_PERSON
39.874145	1.271	EXT_SEM
41.145579	2.939	INT_ACT
44.084587	0.518	INT_OBJ
44.602105	1.262	INT_ACT
45.864158	3.227	INT_OTHER
49.091388	1.278	INT_PERSON
50.369212	1.367	INT_PERC
51.736483	0.236	INT_PERSON
51.972881	1.612	INT_ACT
53.584484	3.396	INT_EMO
56.980712	0.371	INT_TIME
57.351281	2.855	INT_ACT
60.206165	0.811	INT_OBJ
61.017583	1.554	INT_ACT
62.57152	1.412	INT_OBJ
63.983515	1.009	INT_ACT
64.992996	1.807	INT_PERSON
66.800251	5.253	INT_PERC
72.053138	0.755	INT_PERSON
72.807861	2.549	INT_OTHER
75.356582	1.866	INT_TIME
77.222205	1.949	INT_EMO
79.170887	3.259	INT_PERSON
82.429502	2.467	EXT_OTHER
84.896568	1.395	INT_EMO
86.291807	1.973	INT_PERSON
88.264478	1.951	EXT_SEM
90.21557	0.667	INT_ACT
90.8828	3.782	INT_TIME
94.664808	5.845	INT_OTHER
100.509338	8.194	EXT_OTHER
108.70328	4.995	EXT_REP
113.698332	0.894	INT_PERC
114.592809	5.703	EXT_REP
120.296211	0.838	INT_PERSON
121.134379	0.837	INT_EMO
121.971354	1.278	INT_PERSON
123.249178	0.524	INT_ACT
123.773086	0.639	INT_PERC
124.411998	1.201	INT_ACT
125.613153	6.377	INT_OTHER
154	11	stimPicChoice
165	5	stimCuePic
170	118.2	AB_today
172.001572	2.47	INT_TIME
174.471816	4.382	INT_PLACE
178.853553	3.146	EXT_EPI
181.999918	3.071	INT_ACT
185.071389	1.064	INT_OBJ
186.135178	2.621	INT_PLACE
188.756314	3.86	INT_OBJ
192.616601	1.145	INT_EMO
193.761851	2.226	INT_PERC
195.987722	1.238	INT_EMO
197.225692	2.287	INT_PERSON
199.513048	0.931	INT_PERC
200.444405	0.579	INT_ACT
201.02309	2.036	INT_OBJ
203.058604	1.385	INT_ACT
204.444018	2.247	INT_OBJ
206.691391	2.022	INT_ACT
208.713548	0.527	INT_OBJ
209.24065	2.238	INT_PERSON
211.478949	2.652	EXT_OTHER
214.130571	1.725	INT_ACT
215.855633	2.686	INT_OBJ
218.541836	5.354	INT_ACT
223.896208	0.403	INT_OBJ
224.298723	0.503	INT_PERC
224.801866	1.222	INT_EMO
226.023906	2.532	INT_OBJ
228.555658	3.5	INT_ACT
232.055301	1.723	INT_PERSON
233.778237	3.655	INT_ACT
237.433255	2.778	INT_PLACE
240.211713	4.889	INT_PERSON
245.100565	2.094	INT_ACT
247.195002	0.529	INT_OTHER
247.723801	12.129	EXT_SEM
259.852953	6.914	EXT_REP
266.766874	1.455	INT_OBJ
268.221683	6.745	INT_PERC
274.966629	7.564	EXT_SEM
308	11	stimPicChoice
319	5	stimCuePic
324	118.2	AB_6mo
326.410364	7.408	EXT_SEM
333.818526	10.868	EXT_EPI
344.686089	2.552	EXT_SEM
347.238028	2.973	INT_TIME
350.21127	1.477	INT_PERSON
351.687914	1.207	INT_EMO
352.89517	4.2	INT_ACT
357.095624	0.878	INT_OBJ
357.973628	1.624	INT_PLACE
359.597795	1.379	INT_OTHER
360.976803	0.767	INT_ACT
361.743681	1.348	INT_OBJ
363.091996	1.257	INT_ACT
364.349139	0.379	INT_PERSON
364.728277	0.858	INT_OBJ
365.586327	1.177	INT_ACT
366.763651	1.167	INT_PERSON
367.930998	1.347	INT_PERC
369.277937	1.513	INT_ACT
370.790696	3.295	INT_PERSON
374.08534	0.52	INT_ACT
374.605828	0.718	INT_PERC
375.324195	2.174	INT_OBJ
377.498526	6.466	INT_OTHER
383.964558	0.639	INT_OBJ
384.603107	6.153	INT_PERSON
390.756359	1.09	INT_EMO
391.846644	1.896	INT_OBJ
393.742336	0.968	INT_EMO
394.710136	2.125	INT_OBJ
396.835152	2.185	INT_PERSON
399.02034	3.479	INT_ACT
402.499199	0.901	INT_OBJ
403.400386	2.774	INT_ACT
406.174082	1.726	INT_OBJ
407.900159	0.459	INT_ACT
408.359116	3.79	INT_PERSON
412.149481	1.019	EXT_SEM
413.168186	5.895	INT_EMO
419.062792	1.095	EXT_OTHER
420.157719	8.246	INT_PERSON
428.40356	3.382	INT_PERC
431.785873	0.66	EXT_EPI
432.445569	8.023	EXT_SEM
