onset	duration	condition_type
0	11	stimPicChoice
11	5	stimCuePic
16	118.2	AB_6mo
18.090672	1.357	INT_TIME
19.447588	1.432	INT_OTHER
20.879242	3.29	INT_PERSON
24.169702	1.048	INT_OTHER
25.217322	2.152	INT_TIME
27.369335	2.469	INT_EMO
29.837912	5.63	INT_PLACE
35.468368	1.88	INT_EMO
37.348713	0.499	INT_ACT
37.84758	1.451	INT_EMO
39.298987	1.527	INT_OTHER
40.825518	2.111	INT_TIME
42.936243	1.28	INT_ACT
44.216645	4.074	INT_EMO
48.290981	3.417	INT_PERC
51.70787	0.565	INT_PERSON
52.27263	6.24	EXT_SEM
58.512744	4.065	INT_ACT
62.577675	3.17	INT_PERC
65.747846	1.535	INT_PLACE
67.282673	5.822	EXT_SEM
73.104178	16.437	INT_PERC
89.541439	2.124	INT_EMO
91.665155	1.951	INT_PERSON
93.616245	4.574	INT_ACT
98.190303	0.624	INT_PERSON
98.814243	2.619	INT_PERC
101.433243	2.632	INT_EMO
104.065366	2.564	EXT_SEM
106.629072	2.321	INT_EMO
108.949849	2.279	INT_ACT
111.228732	2.772	INT_PERC
114.000497	6.208	INT_ACT
120.208297	0.948	INT_PERSON
121.155885	2.625	INT_EMO
123.780459	2.839	INT_ACT
126.619652	1.021	INT_PLACE
127.640848	1.189	INT_ACT
128.82965	2.718	EXT_OTHER
154	11	stimPicChoice
165	5	stimCuePic
170	118.2	AB_5yr
181.960572	1.948	INT_PLACE
183.908434	1.346	EXT_SEM
185.254111	4.714	INT_PERSON
189.967983	1.518	INT_TIME
191.486126	3.789	INT_EMO
195.274646	2.969	INT_PERSON
198.244131	0.958	INT_ACT
199.201729	3.433	INT_OBJ
202.634539	0.864	INT_PLACE
203.498713	6.622	INT_ACT
210.120876	1.188	INT_PERC
211.308594	2.004	INT_OBJ
213.312805	1.47	INT_PERC
214.782917	1.314	INT_OBJ
216.096585	1.756	INT_ACT
217.852594	0.86	INT_PERC
218.712836	2.331	INT_OBJ
221.04416	2.799	INT_ACT
223.843549	3.132	INT_PERC
226.975779	0.799	INT_OBJ
227.774294	1.086	INT_PERC
228.860048	8.387	INT_TIME
237.246585	2.039	EXT_SEM
239.285839	3.752	INT_EMO
243.037927	6.655	INT_PERC
249.693185	3.05	INT_ACT
252.743635	2.838	EXT_REP
255.581681	1.451	EXT_SEM
257.033093	3.854	INT_ACT
260.886996	3.268	INT_PERSON
264.155411	7.219	INT_PLACE
271.374679	1.919	INT_ACT
273.293774	0.772	INT_OBJ
274.065554	0.862	INT_ACT
274.927339	0.731	INT_PERSON
275.6583	10.148	INT_ACT
308	11	stimPicChoice
319	5	stimCuePic
324	118.2	AB_today
330.725455	15.886	EXT_EPI
346.61143	4.74	EXT_SEM
351.350942	2.934	EXT_EPI
354.285076	2.747	EXT_SEM
357.032179	12.026	EXT_EPI
369.0579	0.501	INT_PERSON
369.558723	8.107	INT_ACT
377.665503	2.772	EXT_SEM
380.437516	0.791	INT_PERSON
381.228969	1.182	INT_EMO
382.411018	2.412	INT_ACT
384.823107	6.807	INT_PERC
391.630155	4.265	INT_ACT
395.895378	3.702	INT_PERSON
399.597643	4.403	INT_PERC
404.000941	1.257	INT_ACT
405.258084	19.711	EXT_SEM
424.9686	5.054	INT_ACT
430.02254	0.506	INT_OTHER
430.528251	1.605	INT_ACT
432.133146	3.858	INT_OTHER
435.990731	3.915	EXT_REP
