onset	duration	condition_type
0	11	stimPicChoice
11	5	stimCuePic
16	118.2	PD
17.519497	1.988	INT_PLACE
19.50737	1.287	INT_PERC
20.794444	1.804	INT_OBJ
22.598478	0.94	INT_PERC
23.538209	3.402	INT_OTHER
26.940476	0.698	INT_PERC
27.638889	1.357	INT_PERSON
28.995805	4.21	INT_PERC
33.206236	6.555	INT_ACT
39.761338	3.113	INT_PLACE
42.874263	4.19	INT_ACT
47.064739	2.534	INT_PERC
49.59898	4.28	INT_OTHER
53.879252	6.204	INT_PERC
60.082856	4.733	INT_OBJ
64.815979	3.86	INT_EMO
68.676165	2.883	INT_PERC
71.559455	2.03	INT_PLACE
73.589599	6.151	INT_OBJ
79.740861	1.104	INT_PERC
80.844467	4.853	INT_OBJ
85.697323	14.411	INT_PERC
100.108798	18.003	EXT_SEM
118.112003	9.819	INT_OBJ
127.931421	3.365	EXT_OTHER
154	11	stimPicChoice
165	5	stimCuePic
170	118.2	PD
171.572882	1.817	INT_PERSON
173.389435	1.739	INT_PLACE
175.128429	0.841	INT_ACT
175.969247	3.295	EXT_SEM
179.264102	2.217	INT_OBJ
181.481045	1.596	INT_PERSON
183.07734	2.516	INT_PERC
185.593121	1.401	INT_PLACE
186.994255	1.919	INT_PERC
188.912788	0.739	INT_ACT
189.651689	0.187	INT_PERSON
189.838537	2.009	INT_ACT
191.847158	0.938	INT_PERSON
192.785353	5.695	INT_OBJ
198.480531	3.93	EXT_SEM
202.410487	2.331	INT_OTHER
204.741157	4.766	INT_PERC
209.507349	8.93	INT_PERSON
218.437054	21.841	INT_PERC
240.277913	13.357	EXT_SEM
253.634881	12.025	INT_PERSON
265.65973	0.758	INT_ACT
266.417757	13.649	INT_PERC
280.066529	2.355	INT_ACT
282.421634	4.745	EXT_SEM
308	11	stimPicChoice
319	5	stimCuePic
324	118.2	PD
325.733038	9.374	INT_PLACE
335.107107	2.72	INT_PERSON
337.827329	2.209	INT_ACT
340.036144	1.524	INT_PERSON
341.559796	1.467	INT_PERC
343.026463	0.988	INT_OBJ
344.014218	3.872	INT_PERC
347.886512	1.615	INT_ACT
349.501746	2.345	INT_OTHER
351.846417	0.17	INT_PERC
352.016032	1.491	INT_OTHER
353.506963	2.421	INT_PERC
355.927619	1.398	INT_OBJ
357.325645	1.345	INT_PERC
358.670907	2.616	EXT_REP
361.287347	1.534	INT_OBJ
362.821474	13.114	INT_PERC
375.935225	0.467	INT_PERSON
376.402346	1.495	INT_PLACE
377.896965	8.375	INT_ACT
386.271787	2.483	INT_PERSON
388.754978	3.295	INT_EMO
392.049926	7.034	INT_PERC
399.084315	2.055	INT_ACT
401.139412	2.204	INT_PERSON
403.343299	6.122	INT_OBJ
409.465465	1.028	INT_PERC
410.493129	0.898	INT_PERSON
411.391089	1.842	INT_OBJ
413.233223	6.636	INT_PERC
419.868769	4.496	EXT_REP
424.365063	1.983	INT_PLACE
426.348204	10.527	INT_PERSON
436.875369	0.586	INT_ACT
437.461837	0.082	INT_OBJ
437.543642	0.437	INT_PERC
437.980658	2.515	INT_OBJ
