onset	duration	condition_type
0	11	stimPicChoice
11	5	stimCuePic
16	118.2	AB_5yr
18.257672	17.07	EXT_OTHER
35.328088	6.851	EXT_SEM
42.178816	2.064	INT_PLACE
44.242682	2.38	INT_PERC
46.623018	1.966	INT_TIME
48.588551	1.182	INT_PERC
49.770386	0.639	INT_PERSON
50.408935	1.606	INT_ACT
52.015284	3.356	INT_PERSON
55.37143	2.345	INT_PERC
57.716681	3.834	INT_PERSON
61.550336	4.866	INT_OBJ
66.416368	1.207	EXT_REP
67.623624	7.491	INT_PERC
75.115008	5.624	INT_ACT
80.738811	7.483	INT_PERC
88.222033	2.25	INT_PERSON
90.471585	3.229	INT_ACT
93.70083	2.517	EXT_REP
96.218059	3.874	INT_ACT
100.092021	3.599	INT_OBJ
103.690917	1.233	INT_ACT
104.923891	7.749	INT_PERC
112.672737	3.651	INT_ACT
116.324169	0.748	INT_PERC
117.072468	4.332	INT_OBJ
121.404854	2.866	INT_ACT
124.271086	1.078	EXT_OTHER
125.348637	2.131	INT_PERC
127.47928	2.534	INT_ACT
130.013521	3.404	EXT_SEM
154	11	stimPicChoice
165	5	stimCuePic
170	118.2	AB_Today
171.830772	2.574	INT_ACT
174.404921	2.234	INT_PLACE
176.638907	7.48	EXT_SEM
184.118957	2.378	INT_PERC
186.49691	0.409	EXT_REP
186.905981	2.06	INT_OTHER
188.966367	2.881	INT_PERC
191.847328	1.311	EXT_REP
193.158506	1.844	EXT_SEM
195.002963	3.297	INT_PERC
198.300163	0.728	INT_OBJ
199.028508	1.357	INT_PERC
200.385424	1.267	INT_OBJ
201.652544	3.518	INT_PERC
205.170111	1.327	INT_OBJ
206.496966	1.786	INT_PERC
208.282907	0.808	INT_OBJ
209.09107	1.894	INT_PERC
210.984783	2.328	INT_OBJ
213.313202	5.343	EXT_REP
218.656594	7.573	INT_PERC
226.229803	1.37	INT_OBJ
227.599841	0.649	INT_PERC
228.248367	2.525	INT_OBJ
230.773327	0.738	INT_PERC
231.51176	1.048	INT_PLACE
232.559538	1.267	INT_OBJ
233.826658	23.151	INT_PERC
256.978021	1.936	INT_PLACE
258.913622	3.942	INT_PERC
262.855728	2.668	INT_PLACE
265.523462	5.948	EXT_OTHER
271.470963	4.886	INT_PERC
276.356914	3.327	INT_ACT
279.68407	3.712	INT_PERC
283.396217	1.373	INT_ACT
284.769227	0.758	INT_PERSON
285.527503	0.788	INT_ACT
308	11	stimPicChoice
319	5	stimCuePic
324	118.2	AB_6mo
325.695572	5.564	EXT_OTHER
331.25933	7.627	INT_OTHER
338.886399	2.356	EXT_OTHER
341.242778	6.43	INT_PERC
347.672349	0.728	INT_OBJ
348.400694	3.093	INT_PERC
351.493608	0.639	INT_OBJ
352.132156	0.728	INT_PERC
352.860501	2.444	INT_OBJ
355.304744	4.601	INT_OTHER
359.90552	0.898	INT_ACT
360.803479	2.32	INT_OBJ
363.123321	1.993	EXT_OTHER
365.116416	4.155	INT_PERC
369.271851	4.527	INT_PLACE
373.798834	3.173	INT_TIME
376.971664	2.604	EXT_REP
379.575746	7.499	INT_PERC
387.07498	0.469	INT_OBJ
387.543914	4.099	INT_OTHER
391.642718	2.509	INT_PERC
394.151695	7.003	INT_PERSON
401.154855	4.181	EXT_SEM
405.335964	2.151	EXT_OTHER
407.487134	1.467	INT_PERC
408.9538	0.499	INT_OBJ
409.452666	0.499	INT_PERSON
409.951533	0.798	INT_ACT
410.749719	2.221	INT_PERC
412.971032	0.369	INT_OBJ
413.340193	2.057	INT_PERC
415.397315	0.938	INT_OBJ
416.335183	0.978	INT_PERC
417.312961	3.62	EXT_REP
420.932757	0.489	INT_PERC
421.421646	9.112	INT_OBJ
430.533429	2.928	EXT_SEM
433.461153	8.066	EXT_OTHER
