onset	duration	condition_type
0	11	stimPicChoice
11	5	stimCuePic
16	118.2	PD
17.981811	6.071	INT_OTHER
24.053026	11.557	INT_OBJ
35.61023	1.822	INT_PERC
37.432074	1.038	INT_OBJ
38.469715	0.778	INT_PERSON
39.247947	0.958	INT_PERC
40.20577	4.3	INT_OBJ
44.506238	8.069	INT_PLACE
52.575038	2.378	INT_PERSON
54.953362	0.659	INT_ACT
55.611865	0.929	INT_PERC
56.540697	1.591	INT_PERSON
58.131871	0.549	INT_PERC
58.680624	0.998	INT_OBJ
59.678356	5.564	INT_PERC
65.242338	4.349	INT_PLACE
69.591186	7.725	INT_PERC
77.316486	3.248	INT_OBJ
80.564376	0.194	INT_PERC
80.758062	0.92	INT_OBJ
81.677821	6.123	EXT_OTHER
87.801152	7.274	INT_PERC
95.075147	1.384	EXT_OTHER
154	11	stimPicChoice
165	5	stimCuePic
170	118.2	PD
172.014291	3.607	EXT_OTHER
175.62134	4.455	INT_PLACE
180.075847	1.761	INT_PERC
181.837065	1.167	INT_PLACE
183.004412	3.761	INT_PERC
186.765215	1.864	INT_OBJ
188.629538	1.804	INT_PERC
190.433242	6.013	INT_PLACE
196.445844	1.928	INT_PERC
198.373491	1.999	INT_PERSON
200.372957	3.204	INT_OTHER
203.576594	5.016	INT_OBJ
208.592496	0.48	INT_PERC
209.072905	4.366	EXT_OTHER
213.438455	3.257	INT_OBJ
216.695769	1.938	INT_PLACE
218.633822	2.848	INT_PERC
221.481683	1.614	INT_PERSON
223.095777	0.844	INT_ACT
223.939538	0.95	INT_PLACE
224.889604	3.687	INT_PERSON
228.577	1.582	INT_OBJ
230.15865	0.355	INT_PERC
230.51317	0.994	INT_OBJ
231.507323	5.404	INT_PERC
236.911699	2.045	INT_OTHER
238.957051	1.947	INT_ACT
240.904303	0.592	INT_PERC
241.496096	2.547	INT_OBJ
308	11	stimPicChoice
319	5	stimCuePic
324	118.2	PD
326.062472	2.464	EXT_OTHER
328.526871	2.283	INT_PLACE
330.809452	8.519	INT_PERC
339.32822	1.028	INT_PLACE
340.355884	3.76	INT_PERC
344.116073	1.377	INT_PLACE
345.492944	4.19	INT_PERC
349.682757	0.419	INT_PERSON
350.101804	0.748	INT_PLACE
350.850104	2.275	INT_PERC
353.124934	1.808	INT_PERSON
354.932472	1.078	INT_PERC
356.010023	1.377	INT_OBJ
357.386894	1.227	INT_PERSON
358.614105	1.028	INT_PERC
359.641769	0.988	INT_PLACE
360.629524	5.18	INT_OBJ
365.81	4.138	INT_PERC
369.948172	0.988	INT_PERSON
370.935927	2.692	INT_PERC
373.628377	0.778	INT_PLACE
374.406608	2.179	INT_PERC
376.585169	0.659	INT_PLACE
377.243673	1.806	INT_PERC
379.049568	2.694	INT_PLACE
381.743446	4.141	EXT_REP
385.884229	3.48	INT_PERC
389.364598	4.011	EXT_OTHER
393.375483	5.6	EXT_REP
