onset	duration	condition_type
0	11	stimPicChoice
11	5	stimCuePic
16	118.2	PD
16.93399	1.276	EXT_OTHER
18.209769	0.596	INT_PERC
18.805988	0.542	INT_PERSON
19.347713	1.767	EXT_REP
21.114608	2.83	INT_PERC
23.944358	1.968	INT_ACT
25.91252	2.595	INT_PLACE
28.507265	2.31	INT_PERC
30.81729	0.439	INT_PLACE
31.256292	0.964	INT_PERC
32.220342	1.038	INT_OBJ
33.258395	2.843	INT_PERC
36.101878	2.57	EXT_OTHER
38.671724	0.476	INT_PERC
39.147385	0.309	INT_PERSON
39.456682	1.048	INT_OBJ
40.504301	4.242	INT_PERC
44.745833	2.864	EXT_OTHER
47.610186	1.632	INT_OBJ
49.241773	3.695	INT_PERC
52.936673	3.454	EXT_OTHER
56.390394	3.55	INT_PERC
59.940015	3.439	EXT_SEM
63.379197	4.61	INT_PLACE
67.989428	8.263	INT_PERC
76.252362	2.609	EXT_OTHER
78.861403	4.888	INT_PERC
83.749097	1.337	EXT_OTHER
85.08578	12.717	EXT_SEM
97.80318	7.81	INT_PLACE
105.613348	2.073	EXT_REP
107.686207	0.224	INT_PERC
107.910591	0.506	INT_PLACE
108.417056	7.541	INT_PERC
115.957784	4.723	EXT_OTHER
120.680499	2.814	INT_ACT
123.494975	1.623	EXT_OTHER
125.11825	3.01	INT_PERC
128.128192	0.962	INT_PERSON
129.089834	1.57	INT_PERC
130.659773	0.724	INT_PERSON
154	11	stimPicChoice
165	5	stimCuePic
170	118.2	PD
171.170393	1.196	EXT_OTHER
172.366223	1.955	INT_PERC
174.320753	4.018	INT_OBJ
178.338446	5.003	INT_PLACE
183.341586	1.187	INT_PERC
184.528696	0.615	INT_PERSON
185.143296	0.47	INT_ACT
185.612918	1.679	INT_OBJ
187.291826	1.124	INT_PERC
188.416311	1.281	INT_PERSON
189.69733	2.031	INT_PERC
191.72791	0.636	INT_OBJ
192.363627	7.334	INT_PERC
199.697663	2.071	EXT_SEM
201.769087	1.473	INT_PLACE
203.241779	16.363	INT_PERC
219.605098	4.016	EXT_SEM
223.620638	7.05	INT_PERC
230.670778	3.546	EXT_OTHER
234.216598	7.271	INT_PERC
241.487683	2	INT_OTHER
243.487477	4.334	EXT_REP
247.821885	4.647	INT_OBJ
252.469199	3.94	EXT_REP
256.409294	2.931	INT_ACT
259.340319	7.899	EXT_SEM
267.239082	2.384	INT_PERC
269.62261	2.117	EXT_SEM
283.8876	1.183	INT_PERC
285.070293	0.6	INT_PERSON
285.670088	3.935	EXT_OTHER
308	11	stimPicChoice
319	5	stimCuePic
324	118.2	PD
324.92862	2.583	EXT_OTHER
327.512005	1.709	INT_OTHER
329.221095	2.126	INT_PERC
331.347411	3.533	INT_PERSON
334.880595	1.297	INT_PERC
336.177124	3.789	INT_OBJ
339.965872	2.239	INT_ACT
342.20495	3.188	INT_OTHER
345.39323	2.389	INT_ACT
347.782084	0.534	INT_OBJ
348.316252	2.252	INT_PLACE
350.568604	3.039	INT_PERC
353.607197	1.268	INT_PERSON
354.875437	4.537	INT_PERC
359.412847	1.111	EXT_REP
360.52425	7.586	EXT_OTHER
368.110104	2.156	INT_PERC
370.265932	1.77	EXT_OTHER
372.035718	6.196	EXT_SEM
378.231977	3.151	INT_PERC
381.38257	2.681	INT_PLACE
384.064057	2.082	INT_PERC
386.146072	3.591	INT_PLACE
389.736757	14.647	INT_PERC
404.383757	1.092	INT_ACT
405.476232	2.819	INT_PLACE
408.295313	2.111	INT_PERC
410.406675	17.804	EXT_SEM
428.211117	3.831	EXT_REP
432.041626	7.025	EXT_SEM
439.066255	1.8	EXT_OTHER
