onset	duration	condition_type
0	11	stimPicChoice
11	5	stimCuePic
16	118.2	AB_6mo
18.430136	3.023	INT_TIME
21.453265	1.167	INT_PERSON
22.620612	1.706	INT_ACT
24.326735	1.876	INT_PERC
26.202472	6.495	INT_PLACE
32.69771	3.562	INT_PERC
36.259614	5.357	EXT_EPI
41.616158	5.09	INT_ACT
46.705873	8.77	INT_OTHER
55.475941	3.392	INT_ACT
58.868231	2.624	INT_PERC
61.492268	1.756	INT_EMO
63.248612	2.045	INT_ACT
65.293628	5.442	INT_PERC
70.735251	7.266	INT_EMO
78.001656	7.207	INT_PERC
85.208367	8.6	EXT_EPI
93.808821	4.649	INT_PERC
98.458254	9.229	INT_PLACE
107.687279	3.133	INT_PERC
110.820159	3.672	INT_PLACE
114.491814	4.45	INT_ACT
118.941701	0.808	INT_PLACE
119.749864	4.001	INT_ACT
123.750771	3.662	INT_OTHER
127.412449	4.211	INT_ACT
154	11	stimPicChoice
165	5	stimCuePic
170	118.2	AB_today
170.778776	3.453	INT_PERC
174.232259	1.201	EXT_EPI
175.433428	4.536	INT_ACT
179.969025	3.761	INT_OBJ
183.730476	3.871	INT_ACT
187.601655	3.352	INT_OBJ
190.954059	2.913	INT_PLACE
193.867438	7.344	EXT_EPI
201.211763	11.463	INT_ACT
212.674694	2.664	INT_PLACE
215.338639	5.439	INT_ACT
220.77752	0.577	INT_PLACE
221.354966	3.332	INT_ACT
224.687392	1.177	INT_OBJ
225.864717	2.869	EXT_EPI
228.733433	1.211	EXT_OTHER
229.944611	6.396	EXT_EPI
236.340907	1.596	INT_ACT
237.937279	1.001	EXT_REP
238.938423	4.935	INT_OBJ
243.873787	5.767	EXT_EPI
249.64068	3.911	INT_ACT
253.551905	6.45	INT_PLACE
260.001844	2.065	INT_ACT
262.06715	3.923	INT_TIME
265.990472	4.448	INT_ACT
270.438125	6.705	INT_PERC
277.142887	2.754	INT_PLACE
279.896628	10.077	INT_PERC
308	11	stimPicChoice
319	5	stimCuePic
324	118.2	AB_5yr
325.691158	16.752	EXT_OTHER
342.442933	3.213	INT_ACT
345.655715	2.923	INT_OTHER
348.579071	3.341	INT_PLACE
351.920414	11.008	EXT_SEM
362.928457	2.846	INT_ACT
365.774354	0.918	INT_OTHER
366.692268	2.997	INT_EMO
369.689127	3.478	INT_ACT
373.166939	2.158	INT_PERC
375.32497	4.177	INT_PERSON
379.50233	3.392	INT_ACT
382.894333	0.649	INT_PLACE
383.542859	3.643	INT_ACT
387.185607	1.367	INT_OBJ
388.5525	1.028	EXT_REP
389.580165	3.348	INT_PERSON
392.928538	2.887	INT_PERC
395.815453	1.496	INT_ACT
397.311181	0.15	INT_PERC
397.460841	0.339	INT_OTHER
397.80007	1.839	INT_ACT
399.639207	1.088	INT_PERC
400.726735	1.217	INT_PERSON
401.943968	5.215	INT_ACT
407.158848	1.696	INT_OTHER
408.854742	3.373	INT_PERC
412.227653	0.619	INT_ACT
412.846247	2.74	INT_PERSON
415.586306	3.342	INT_ACT
418.92845	0.798	INT_TIME
419.726636	18.572	INT_ACT
438.298661	2.865	EXT_OTHER
