onset	duration	condition_type
0	11	stimPicChoice
11	5	stimCuePic
16	118.2	AB_6mo
17.29607	2.95	EXT_OTHER
20.2465	3.741	INT_ACT
23.987967	1.01	INT_PLACE
24.998391	2.345	INT_OTHER
27.343062	4.181	INT_EMO
31.524075	4.325	EXT_OTHER
35.849063	3.5	INT_ACT
39.349389	1.207	INT_PLACE
40.556645	2.055	INT_PERSON
42.612132	5.283	EXT_SEM
47.8954	4.689	INT_ACT
52.584213	3.156	EXT_SEM
55.740385	6.292	INT_ACT
62.032089	0.725	INT_OBJ
62.757464	0.928	INT_PERC
63.685355	3.446	EXT_REP
67.131627	3.482	INT_ACT
70.613156	2.74	EXT_SEM
73.353061	15.559	INT_ACT
88.912399	1.688	INT_PLACE
90.600255	1.579	INT_PERC
92.179287	0.639	EXT_REP
92.817836	8.717	INT_ACT
101.53519	4.352	INT_EMO
105.886903	8.278	INT_ACT
114.164716	5.695	INT_EMO
119.859442	4.68	INT_PERC
124.539366	6.439	INT_PLACE
154	11	stimPicChoice
165	5	stimCuePic
170	118.2	AB_5yr
172.325345	13.855	EXT_OTHER
186.180345	0.811	INT_ACT
186.991611	1.078	INT_PLACE
188.069229	7.604	INT_PERC
195.673589	0.642	INT_PERSON
196.315433	0.884	INT_OBJ
197.199821	0.364	INT_PERC
197.564013	6.036	INT_PERSON
203.599972	3.327	INT_ACT
206.927439	2.546	INT_PERC
209.473189	0.896	INT_OBJ
210.369616	6.138	INT_ACT
216.507738	0.319	INT_PLACE
216.827013	4.2	INT_PERC
221.027466	1.012	INT_ACT
222.039388	0.614	INT_PERC
222.653875	0.835	INT_PERSON
223.48873	6.239	INT_ACT
229.727693	4.813	INT_OBJ
234.540758	3.961	EXT_SEM
238.501756	2.907	INT_PERC
241.4092	5.254	INT_ACT
246.663019	2.611	INT_PERC
249.27378	3.137	INT_OBJ
252.411079	3.533	INT_OTHER
255.944061	3.443	INT_ACT
259.386683	4.037	INT_TIME
263.423495	1.7	INT_PERC
265.123015	5.857	EXT_OTHER
270.979704	5.261	INT_PERC
276.240225	6.508	INT_ACT
282.748709	1.852	EXT_OTHER
284.600871	3.291	INT_OTHER
308	11	stimPicChoice
319	5	stimCuePic
324	118.2	AB_today
324.914332	3.961	INT_ACT
328.875329	3.732	INT_TIME
332.606849	6.545	EXT_SEM
339.151973	6.096	INT_ACT
345.248341	6.23	INT_PERSON
351.478127	0.836	INT_ACT
352.314514	1.756	INT_OTHER
354.070523	7.302	INT_ACT
361.372543	3.395	INT_OTHER
364.767528	4.24	EXT_EPI
369.007891	1.115	INT_OTHER
370.122695	5.458	INT_ACT
375.581148	2.155	INT_OTHER
377.73625	0.92	EXT_EPI
378.655822	5.147	INT_OTHER
383.802463	1.447	EXT_REP
385.249175	0.459	INT_OBJ
385.708132	2.846	INT_ACT
388.554481	0.988	INT_PERC
389.542236	0.758	INT_OTHER
390.300513	5.989	INT_OBJ
396.289887	0.329	INT_TIME
396.619139	1.296	EXT_REP
397.914862	0.755	INT_ACT
398.669634	0.88	INT_OTHER
399.549879	2.109	INT_ACT
401.65869	1.676	EXT_SEM
403.334747	1.404	EXT_REP
404.739227	3.191	INT_ACT
407.929955	0.444	INT_PERC
408.373752	0.808	INT_ACT
409.181281	0.813	INT_OTHER
409.994341	0.516	INT_PERC
410.510724	4.826	INT_ACT
415.337075	0.444	INT_OBJ
415.780588	6.516	EXT_SEM
422.296892	3.73	INT_ACT
426.027257	1.367	INT_PERC
427.394151	0.669	EXT_REP
428.06284	2.748	EXT_OTHER
430.810984	6.058	INT_OBJ
436.869413	1.19	INT_ACT
438.059151	2.953	INT_PERC
